Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;18051 Colomera;Africa;..
Ambos sexos;18051 Colomera;América;..
Ambos sexos;18051 Colomera;Asia;..
Ambos sexos;18051 Colomera;Europa;..
Ambos sexos;18051 Colomera;Resto;..
Ambos sexos;18053 Cortes de Baza;Africa;..
Ambos sexos;18053 Cortes de Baza;América;..
Ambos sexos;18053 Cortes de Baza;Asia;..
Ambos sexos;18053 Cortes de Baza;Europa;3
Ambos sexos;18053 Cortes de Baza;Resto;..
Ambos sexos;18054 Cortes y Graena;Africa;9
Ambos sexos;18054 Cortes y Graena;América;1
Ambos sexos;18054 Cortes y Graena;Asia;..
Ambos sexos;18054 Cortes y Graena;Europa;4
Ambos sexos;18054 Cortes y Graena;Resto;..
Ambos sexos;18056 Cúllar;Africa;1
Ambos sexos;18056 Cúllar;América;2
Ambos sexos;18056 Cúllar;Asia;..
Ambos sexos;18056 Cúllar;Europa;4
Ambos sexos;18056 Cúllar;Resto;..
Ambos sexos;18057 Cúllar Vega;Africa;1
Ambos sexos;18057 Cúllar Vega;América;2
Ambos sexos;18057 Cúllar Vega;Asia;1
Ambos sexos;18057 Cúllar Vega;Europa;9
Ambos sexos;18057 Cúllar Vega;Resto;..
Ambos sexos;18059 Chauchina;Africa;1
Ambos sexos;18059 Chauchina;América;1
Ambos sexos;18059 Chauchina;Asia;..
Ambos sexos;18059 Chauchina;Europa;1
Ambos sexos;18059 Chauchina;Resto;..
Ambos sexos;18061 Chimeneas;Africa;..
Ambos sexos;18061 Chimeneas;América;..
Ambos sexos;18061 Chimeneas;Asia;2
Ambos sexos;18061 Chimeneas;Europa;..
Ambos sexos;18061 Chimeneas;Resto;..
Ambos sexos;18062 Churriana de la Vega;Africa;33
Ambos sexos;18062 Churriana de la Vega;América;19
Ambos sexos;18062 Churriana de la Vega;Asia;10
Ambos sexos;18062 Churriana de la Vega;Europa;10
Ambos sexos;18062 Churriana de la Vega;Resto;..
Ambos sexos;18063 Darro;Africa;..
Ambos sexos;18063 Darro;América;1
Ambos sexos;18063 Darro;Asia;..
Ambos sexos;18063 Darro;Europa;3
Ambos sexos;18063 Darro;Resto;..
Ambos sexos;18064 Dehesas de Guadix;Africa;..
Ambos sexos;18064 Dehesas de Guadix;América;..
Ambos sexos;18064 Dehesas de Guadix;Asia;..
Ambos sexos;18064 Dehesas de Guadix;Europa;..
Ambos sexos;18064 Dehesas de Guadix;Resto;..
Ambos sexos;18066 Deifontes;Africa;..
Ambos sexos;18066 Deifontes;América;..
Ambos sexos;18066 Deifontes;Asia;..
Ambos sexos;18066 Deifontes;Europa;..
Ambos sexos;18066 Deifontes;Resto;..
Ambos sexos;18067 Diezma;Africa;..
Ambos sexos;18067 Diezma;América;..
Ambos sexos;18067 Diezma;Asia;..
Ambos sexos;18067 Diezma;Europa;..
Ambos sexos;18067 Diezma;Resto;..
Ambos sexos;18068 Dílar;Africa;..
Ambos sexos;18068 Dílar;América;..
Ambos sexos;18068 Dílar;Asia;1
Ambos sexos;18068 Dílar;Europa;10
Ambos sexos;18068 Dílar;Resto;..
Ambos sexos;18069 Dólar;Africa;2
Ambos sexos;18069 Dólar;América;..
Ambos sexos;18069 Dólar;Asia;..
Ambos sexos;18069 Dólar;Europa;..
Ambos sexos;18069 Dólar;Resto;..
Ambos sexos;18070 Dúdar;Africa;..
Ambos sexos;18070 Dúdar;América;1
Ambos sexos;18070 Dúdar;Asia;..
Ambos sexos;18070 Dúdar;Europa;..
Ambos sexos;18070 Dúdar;Resto;..
Ambos sexos;18071 Dúrcal;Africa;11
Ambos sexos;18071 Dúrcal;América;10
Ambos sexos;18071 Dúrcal;Asia;1
Ambos sexos;18071 Dúrcal;Europa;11
Ambos sexos;18071 Dúrcal;Resto;..
Ambos sexos;18072 Escúzar;Africa;..
Ambos sexos;18072 Escúzar;América;..
Ambos sexos;18072 Escúzar;Asia;..
Ambos sexos;18072 Escúzar;Europa;7
Ambos sexos;18072 Escúzar;Resto;..
Ambos sexos;18074 Ferreira;Africa;..
Ambos sexos;18074 Ferreira;América;..
Ambos sexos;18074 Ferreira;Asia;..
Ambos sexos;18074 Ferreira;Europa;..
Ambos sexos;18074 Ferreira;Resto;..
Ambos sexos;18076 Fonelas;Africa;..
Ambos sexos;18076 Fonelas;América;..
Ambos sexos;18076 Fonelas;Asia;..
Ambos sexos;18076 Fonelas;Europa;2
Ambos sexos;18076 Fonelas;Resto;..
Ambos sexos;18078 Freila;Africa;..
Ambos sexos;18078 Freila;América;..
Ambos sexos;18078 Freila;Asia;..
Ambos sexos;18078 Freila;Europa;2
Ambos sexos;18078 Freila;Resto;..
Ambos sexos;18079 Fuente Vaqueros;Africa;..
Ambos sexos;18079 Fuente Vaqueros;América;2
Ambos sexos;18079 Fuente Vaqueros;Asia;..
Ambos sexos;18079 Fuente Vaqueros;Europa;9
Ambos sexos;18079 Fuente Vaqueros;Resto;..
Ambos sexos;18082 Galera;Africa;..
Ambos sexos;18082 Galera;América;..
Ambos sexos;18082 Galera;Asia;..
Ambos sexos;18082 Galera;Europa;..
Ambos sexos;18082 Galera;Resto;..
Ambos sexos;18083 Gobernador;Africa;..
Ambos sexos;18083 Gobernador;América;..
Ambos sexos;18083 Gobernador;Asia;..
Ambos sexos;18083 Gobernador;Europa;..
Ambos sexos;18083 Gobernador;Resto;..
Ambos sexos;18084 Gójar;Africa;4
Ambos sexos;18084 Gójar;América;3
Ambos sexos;18084 Gójar;Asia;..
Ambos sexos;18084 Gójar;Europa;5
Ambos sexos;18084 Gójar;Resto;..
Ambos sexos;18085 Gor;Africa;..
Ambos sexos;18085 Gor;América;..
Ambos sexos;18085 Gor;Asia;..
Ambos sexos;18085 Gor;Europa;3
Ambos sexos;18085 Gor;Resto;..
Ambos sexos;18086 Gorafe;Africa;1
Ambos sexos;18086 Gorafe;América;..
Ambos sexos;18086 Gorafe;Asia;..
Ambos sexos;18086 Gorafe;Europa;1
Ambos sexos;18086 Gorafe;Resto;..
Ambos sexos;18087 Granada;Africa;1.378
Ambos sexos;18087 Granada;América;655
Ambos sexos;18087 Granada;Asia;415
Ambos sexos;18087 Granada;Europa;845
Ambos sexos;18087 Granada;Resto;5
Ambos sexos;18088 Guadahortuna;Africa;..
Ambos sexos;18088 Guadahortuna;América;..
Ambos sexos;18088 Guadahortuna;Asia;..
Ambos sexos;18088 Guadahortuna;Europa;1
Ambos sexos;18088 Guadahortuna;Resto;..
Ambos sexos;18089 Guadix;Africa;16
Ambos sexos;18089 Guadix;América;12
Ambos sexos;18089 Guadix;Asia;9
Ambos sexos;18089 Guadix;Europa;58
Ambos sexos;18089 Guadix;Resto;..
Ambos sexos;18094 Güejar Sierra;Africa;..
Ambos sexos;18094 Güejar Sierra;América;4
Ambos sexos;18094 Güejar Sierra;Asia;..
Ambos sexos;18094 Güejar Sierra;Europa;5
Ambos sexos;18094 Güejar Sierra;Resto;..
