Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;41080 Real de la Jara (El);Asia;..
Ambos sexos;41080 Real de la Jara (El);Europa;1
Ambos sexos;41080 Real de la Jara (El);Resto;..
Ambos sexos;41081 Rinconada (La);Africa;69
Ambos sexos;41081 Rinconada (La);América;18
Ambos sexos;41081 Rinconada (La);Asia;7
Ambos sexos;41081 Rinconada (La);Europa;44
Ambos sexos;41081 Rinconada (La);Resto;..
Ambos sexos;41082 Roda de Andalucía (La);Africa;6
Ambos sexos;41082 Roda de Andalucía (La);América;..
Ambos sexos;41082 Roda de Andalucía (La);Asia;..
Ambos sexos;41082 Roda de Andalucía (La);Europa;3
Ambos sexos;41082 Roda de Andalucía (La);Resto;..
Ambos sexos;41083 Ronquillo (El);Africa;..
Ambos sexos;41083 Ronquillo (El);América;1
Ambos sexos;41083 Ronquillo (El);Asia;..
Ambos sexos;41083 Ronquillo (El);Europa;2
Ambos sexos;41083 Ronquillo (El);Resto;..
Ambos sexos;41084 Rubio (El);Africa;..
Ambos sexos;41084 Rubio (El);América;1
Ambos sexos;41084 Rubio (El);Asia;..
Ambos sexos;41084 Rubio (El);Europa;..
Ambos sexos;41084 Rubio (El);Resto;..
Ambos sexos;41085 Salteras;Africa;1
Ambos sexos;41085 Salteras;América;4
Ambos sexos;41085 Salteras;Asia;..
Ambos sexos;41085 Salteras;Europa;9
Ambos sexos;41085 Salteras;Resto;1
Ambos sexos;41086 San Juan de Aznalfarache;Africa;35
Ambos sexos;41086 San Juan de Aznalfarache;América;43
Ambos sexos;41086 San Juan de Aznalfarache;Asia;5
Ambos sexos;41086 San Juan de Aznalfarache;Europa;41
Ambos sexos;41086 San Juan de Aznalfarache;Resto;..
Ambos sexos;41087 Sanlúcar la Mayor;Africa;27
Ambos sexos;41087 Sanlúcar la Mayor;América;20
Ambos sexos;41087 Sanlúcar la Mayor;Asia;3
Ambos sexos;41087 Sanlúcar la Mayor;Europa;86
Ambos sexos;41087 Sanlúcar la Mayor;Resto;..
Ambos sexos;41088 San Nicolás del Puerto;Africa;..
Ambos sexos;41088 San Nicolás del Puerto;América;2
Ambos sexos;41088 San Nicolás del Puerto;Asia;..
Ambos sexos;41088 San Nicolás del Puerto;Europa;..
Ambos sexos;41088 San Nicolás del Puerto;Resto;..
Ambos sexos;41089 Santiponce;Africa;24
Ambos sexos;41089 Santiponce;América;4
Ambos sexos;41089 Santiponce;Asia;4
Ambos sexos;41089 Santiponce;Europa;19
Ambos sexos;41089 Santiponce;Resto;..
Ambos sexos;41090 Saucejo (El);Africa;..
Ambos sexos;41090 Saucejo (El);América;..
Ambos sexos;41090 Saucejo (El);Asia;..
Ambos sexos;41090 Saucejo (El);Europa;7
Ambos sexos;41090 Saucejo (El);Resto;..
Ambos sexos;41091 Sevilla;Africa;1.153
Ambos sexos;41091 Sevilla;América;1.540
Ambos sexos;41091 Sevilla;Asia;382
Ambos sexos;41091 Sevilla;Europa;1.941
Ambos sexos;41091 Sevilla;Resto;10
Ambos sexos;41092 Tocina;Africa;4
Ambos sexos;41092 Tocina;América;3
Ambos sexos;41092 Tocina;Asia;1
Ambos sexos;41092 Tocina;Europa;4
Ambos sexos;41092 Tocina;Resto;7
Ambos sexos;41093 Tomares;Africa;17
Ambos sexos;41093 Tomares;América;84
Ambos sexos;41093 Tomares;Asia;22
Ambos sexos;41093 Tomares;Europa;96
Ambos sexos;41093 Tomares;Resto;4
Ambos sexos;41094 Umbrete;Africa;11
Ambos sexos;41094 Umbrete;América;2
Ambos sexos;41094 Umbrete;Asia;2
Ambos sexos;41094 Umbrete;Europa;4
Ambos sexos;41094 Umbrete;Resto;..
Ambos sexos;41095 Utrera;Africa;56
Ambos sexos;41095 Utrera;América;35
Ambos sexos;41095 Utrera;Asia;17
Ambos sexos;41095 Utrera;Europa;40
Ambos sexos;41095 Utrera;Resto;3
Ambos sexos;41096 Valencina de la Concepción;Africa;9
Ambos sexos;41096 Valencina de la Concepción;América;35
Ambos sexos;41096 Valencina de la Concepción;Asia;3
Ambos sexos;41096 Valencina de la Concepción;Europa;56
Ambos sexos;41096 Valencina de la Concepción;Resto;4
Ambos sexos;41097 Villamanrique de la Condesa;Africa;6
Ambos sexos;41097 Villamanrique de la Condesa;América;..
Ambos sexos;41097 Villamanrique de la Condesa;Asia;..
Ambos sexos;41097 Villamanrique de la Condesa;Europa;1
Ambos sexos;41097 Villamanrique de la Condesa;Resto;..
Ambos sexos;41098 Villanueva del Ariscal;Africa;10
Ambos sexos;41098 Villanueva del Ariscal;América;10
Ambos sexos;41098 Villanueva del Ariscal;Asia;..
Ambos sexos;41098 Villanueva del Ariscal;Europa;17
Ambos sexos;41098 Villanueva del Ariscal;Resto;..
Ambos sexos;41099 Villanueva del Río y Minas;Africa;4
Ambos sexos;41099 Villanueva del Río y Minas;América;5
