Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;41035 Coripe;Colombia;2
Ambos sexos;41035 Coripe;Ecuador;0
Ambos sexos;41035 Coripe;Total Asia;0
Ambos sexos;41035 Coripe;Resto;0
Ambos sexos;41036 Coronil (El);Total Unión Europea;2
Ambos sexos;41036 Coronil (El);Reino Unido;1
Ambos sexos;41036 Coronil (El);Alemania;0
Ambos sexos;41036 Coronil (El);Total Africa;27
Ambos sexos;41036 Coronil (El);Marruecos;26
Ambos sexos;41036 Coronil (El);Total América;4
Ambos sexos;41036 Coronil (El);Colombia;2
Ambos sexos;41036 Coronil (El);Ecuador;1
Ambos sexos;41036 Coronil (El);Total Asia;1
Ambos sexos;41036 Coronil (El);Resto;0
Ambos sexos;41037 Corrales (Los);Total Unión Europea;4
Ambos sexos;41037 Corrales (Los);Reino Unido;0
Ambos sexos;41037 Corrales (Los);Alemania;0
Ambos sexos;41037 Corrales (Los);Total Africa;5
Ambos sexos;41037 Corrales (Los);Marruecos;2
Ambos sexos;41037 Corrales (Los);Total América;5
Ambos sexos;41037 Corrales (Los);Colombia;2
Ambos sexos;41037 Corrales (Los);Ecuador;2
Ambos sexos;41037 Corrales (Los);Total Asia;1
Ambos sexos;41037 Corrales (Los);Resto;0
Ambos sexos;41038 Dos Hermanas;Total Unión Europea;221
Ambos sexos;41038 Dos Hermanas;Reino Unido;17
Ambos sexos;41038 Dos Hermanas;Alemania;43
Ambos sexos;41038 Dos Hermanas;Total Africa;180
Ambos sexos;41038 Dos Hermanas;Marruecos;122
Ambos sexos;41038 Dos Hermanas;Total América;390
Ambos sexos;41038 Dos Hermanas;Colombia;119
Ambos sexos;41038 Dos Hermanas;Ecuador;36
Ambos sexos;41038 Dos Hermanas;Total Asia;39
Ambos sexos;41038 Dos Hermanas;Resto;0
Ambos sexos;41039 Écija;Total Unión Europea;20
Ambos sexos;41039 Écija;Reino Unido;3
Ambos sexos;41039 Écija;Alemania;1
Ambos sexos;41039 Écija;Total Africa;47
Ambos sexos;41039 Écija;Marruecos;41
Ambos sexos;41039 Écija;Total América;124
Ambos sexos;41039 Écija;Colombia;66
Ambos sexos;41039 Écija;Ecuador;35
Ambos sexos;41039 Écija;Total Asia;7
Ambos sexos;41039 Écija;Resto;0
Ambos sexos;41040 Espartinas;Total Unión Europea;66
Ambos sexos;41040 Espartinas;Reino Unido;24
Ambos sexos;41040 Espartinas;Alemania;7
Ambos sexos;41040 Espartinas;Total Africa;13
Ambos sexos;41040 Espartinas;Marruecos;11
Ambos sexos;41040 Espartinas;Total América;44
Ambos sexos;41040 Espartinas;Colombia;3
Ambos sexos;41040 Espartinas;Ecuador;1
Ambos sexos;41040 Espartinas;Total Asia;3
Ambos sexos;41040 Espartinas;Resto;0
Ambos sexos;41041 Estepa;Total Unión Europea;2
Ambos sexos;41041 Estepa;Reino Unido;0
Ambos sexos;41041 Estepa;Alemania;0
Ambos sexos;41041 Estepa;Total Africa;30
Ambos sexos;41041 Estepa;Marruecos;27
Ambos sexos;41041 Estepa;Total América;41
Ambos sexos;41041 Estepa;Colombia;25
Ambos sexos;41041 Estepa;Ecuador;8
Ambos sexos;41041 Estepa;Total Asia;1
Ambos sexos;41041 Estepa;Resto;0
Ambos sexos;41042 Fuentes de Andalucía;Total Unión Europea;4
Ambos sexos;41042 Fuentes de Andalucía;Reino Unido;0
Ambos sexos;41042 Fuentes de Andalucía;Alemania;0
Ambos sexos;41042 Fuentes de Andalucía;Total Africa;57
Ambos sexos;41042 Fuentes de Andalucía;Marruecos;57
Ambos sexos;41042 Fuentes de Andalucía;Total América;8
Ambos sexos;41042 Fuentes de Andalucía;Colombia;1
Ambos sexos;41042 Fuentes de Andalucía;Ecuador;3
Ambos sexos;41042 Fuentes de Andalucía;Total Asia;0
Ambos sexos;41042 Fuentes de Andalucía;Resto;0
Ambos sexos;41043 Garrobo (El);Total Unión Europea;0
Ambos sexos;41043 Garrobo (El);Reino Unido;0
Ambos sexos;41043 Garrobo (El);Alemania;0
Ambos sexos;41043 Garrobo (El);Total Africa;3
Ambos sexos;41043 Garrobo (El);Marruecos;3
Ambos sexos;41043 Garrobo (El);Total América;5
Ambos sexos;41043 Garrobo (El);Colombia;0
Ambos sexos;41043 Garrobo (El);Ecuador;5
Ambos sexos;41043 Garrobo (El);Total Asia;0
Ambos sexos;41043 Garrobo (El);Resto;0
Ambos sexos;41044 Gelves;Total Unión Europea;34
Ambos sexos;41044 Gelves;Reino Unido;5
Ambos sexos;41044 Gelves;Alemania;4
Ambos sexos;41044 Gelves;Total Africa;6
Ambos sexos;41044 Gelves;Marruecos;5
Ambos sexos;41044 Gelves;Total América;26
Ambos sexos;41044 Gelves;Colombia;0
Ambos sexos;41044 Gelves;Ecuador;0
Ambos sexos;41044 Gelves;Total Asia;2
Ambos sexos;41044 Gelves;Resto;1
Ambos sexos;41045 Gerena;Total Unión Europea;11
Ambos sexos;41045 Gerena;Reino Unido;6
Ambos sexos;41045 Gerena;Alemania;3
Ambos sexos;41045 Gerena;Total Africa;6
Ambos sexos;41045 Gerena;Marruecos;0
Ambos sexos;41045 Gerena;Total América;6
Ambos sexos;41045 Gerena;Colombia;2
Ambos sexos;41045 Gerena;Ecuador;0
Ambos sexos;41045 Gerena;Total Asia;0
Ambos sexos;41045 Gerena;Resto;0
Ambos sexos;41046 Gilena;Total Unión Europea;1
Ambos sexos;41046 Gilena;Reino Unido;1
Ambos sexos;41046 Gilena;Alemania;0
Ambos sexos;41046 Gilena;Total Africa;3
Ambos sexos;41046 Gilena;Marruecos;3
Ambos sexos;41046 Gilena;Total América;0
Ambos sexos;41046 Gilena;Colombia;0
Ambos sexos;41046 Gilena;Ecuador;0
Ambos sexos;41046 Gilena;Total Asia;0
Ambos sexos;41046 Gilena;Resto;0
Ambos sexos;41047 Gines;Total Unión Europea;46
Ambos sexos;41047 Gines;Reino Unido;8
Ambos sexos;41047 Gines;Alemania;11
Ambos sexos;41047 Gines;Total Africa;29
Ambos sexos;41047 Gines;Marruecos;19
Ambos sexos;41047 Gines;Total América;64
Ambos sexos;41047 Gines;Colombia;18
Ambos sexos;41047 Gines;Ecuador;5
Ambos sexos;41047 Gines;Total Asia;7
Ambos sexos;41047 Gines;Resto;0
Ambos sexos;41048 Guadalcanal;Total Unión Europea;1
Ambos sexos;41048 Guadalcanal;Reino Unido;0
Ambos sexos;41048 Guadalcanal;Alemania;0
Ambos sexos;41048 Guadalcanal;Total Africa;0
Ambos sexos;41048 Guadalcanal;Marruecos;0
Ambos sexos;41048 Guadalcanal;Total América;13
Ambos sexos;41048 Guadalcanal;Colombia;0
Ambos sexos;41048 Guadalcanal;Ecuador;8
Ambos sexos;41048 Guadalcanal;Total Asia;5
Ambos sexos;41048 Guadalcanal;Resto;0
Ambos sexos;41049 Guillena;Total Unión Europea;12
Ambos sexos;41049 Guillena;Reino Unido;1
Ambos sexos;41049 Guillena;Alemania;6
Ambos sexos;41049 Guillena;Total Africa;26
Ambos sexos;41049 Guillena;Marruecos;18
Ambos sexos;41049 Guillena;Total América;19
Ambos sexos;41049 Guillena;Colombia;1
Ambos sexos;41049 Guillena;Ecuador;0
Ambos sexos;41049 Guillena;Total Asia;0
Ambos sexos;41049 Guillena;Resto;0
Ambos sexos;41050 Herrera;Total Unión Europea;4
Ambos sexos;41050 Herrera;Reino Unido;0
Ambos sexos;41050 Herrera;Alemania;1
Ambos sexos;41050 Herrera;Total Africa;22
Ambos sexos;41050 Herrera;Marruecos;13
Ambos sexos;41050 Herrera;Total América;9
Ambos sexos;41050 Herrera;Colombia;3
Ambos sexos;41050 Herrera;Ecuador;0
Ambos sexos;41050 Herrera;Total Asia;0
Ambos sexos;41050 Herrera;Resto;0
Ambos sexos;41051 Huévar;Total Unión Europea;3
Ambos sexos;41051 Huévar;Reino Unido;0
Ambos sexos;41051 Huévar;Alemania;1
Ambos sexos;41051 Huévar;Total Africa;3
Ambos sexos;41051 Huévar;Marruecos;0
Ambos sexos;41051 Huévar;Total América;8
Ambos sexos;41051 Huévar;Colombia;0
