Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;29024 Benalauría;Total Africa;0
Ambos sexos;29024 Benalauría;Marruecos;0
Ambos sexos;29024 Benalauría;Total América;0
Ambos sexos;29024 Benalauría;Colombia;0
Ambos sexos;29024 Benalauría;Ecuador;0
Ambos sexos;29024 Benalauría;Total Asia;0
Ambos sexos;29024 Benalauría;Resto;0
Ambos sexos;29025 Benalmádena;Total Unión Europea;5.228
Ambos sexos;29025 Benalmádena;Reino Unido;2.616
Ambos sexos;29025 Benalmádena;Alemania;239
Ambos sexos;29025 Benalmádena;Total Africa;467
Ambos sexos;29025 Benalmádena;Marruecos;383
Ambos sexos;29025 Benalmádena;Total América;953
Ambos sexos;29025 Benalmádena;Colombia;190
Ambos sexos;29025 Benalmádena;Ecuador;8
Ambos sexos;29025 Benalmádena;Total Asia;327
Ambos sexos;29025 Benalmádena;Resto;12
Ambos sexos;29026 Benamargosa;Total Unión Europea;20
Ambos sexos;29026 Benamargosa;Reino Unido;11
Ambos sexos;29026 Benamargosa;Alemania;6
Ambos sexos;29026 Benamargosa;Total Africa;0
Ambos sexos;29026 Benamargosa;Marruecos;0
Ambos sexos;29026 Benamargosa;Total América;4
Ambos sexos;29026 Benamargosa;Colombia;0
Ambos sexos;29026 Benamargosa;Ecuador;2
Ambos sexos;29026 Benamargosa;Total Asia;0
Ambos sexos;29026 Benamargosa;Resto;0
Ambos sexos;29027 Benamocarra;Total Unión Europea;8
Ambos sexos;29027 Benamocarra;Reino Unido;5
Ambos sexos;29027 Benamocarra;Alemania;3
Ambos sexos;29027 Benamocarra;Total Africa;4
Ambos sexos;29027 Benamocarra;Marruecos;4
Ambos sexos;29027 Benamocarra;Total América;2
Ambos sexos;29027 Benamocarra;Colombia;0
Ambos sexos;29027 Benamocarra;Ecuador;0
Ambos sexos;29027 Benamocarra;Total Asia;0
Ambos sexos;29027 Benamocarra;Resto;0
Ambos sexos;29028 Benaoján;Total Unión Europea;17
Ambos sexos;29028 Benaoján;Reino Unido;8
Ambos sexos;29028 Benaoján;Alemania;0
Ambos sexos;29028 Benaoján;Total Africa;1
Ambos sexos;29028 Benaoján;Marruecos;1
Ambos sexos;29028 Benaoján;Total América;1
Ambos sexos;29028 Benaoján;Colombia;0
Ambos sexos;29028 Benaoján;Ecuador;0
Ambos sexos;29028 Benaoján;Total Asia;0
Ambos sexos;29028 Benaoján;Resto;0
Ambos sexos;29029 Benarrabá;Total Unión Europea;1
Ambos sexos;29029 Benarrabá;Reino Unido;1
Ambos sexos;29029 Benarrabá;Alemania;0
Ambos sexos;29029 Benarrabá;Total Africa;0
Ambos sexos;29029 Benarrabá;Marruecos;0
Ambos sexos;29029 Benarrabá;Total América;0
Ambos sexos;29029 Benarrabá;Colombia;0
Ambos sexos;29029 Benarrabá;Ecuador;0
Ambos sexos;29029 Benarrabá;Total Asia;0
Ambos sexos;29029 Benarrabá;Resto;0
Ambos sexos;29030 Borge (El);Total Unión Europea;0
Ambos sexos;29030 Borge (El);Reino Unido;0
Ambos sexos;29030 Borge (El);Alemania;0
Ambos sexos;29030 Borge (El);Total Africa;0
Ambos sexos;29030 Borge (El);Marruecos;0
Ambos sexos;29030 Borge (El);Total América;0
Ambos sexos;29030 Borge (El);Colombia;0
Ambos sexos;29030 Borge (El);Ecuador;0
Ambos sexos;29030 Borge (El);Total Asia;0
Ambos sexos;29030 Borge (El);Resto;0
Ambos sexos;29031 Burgo (El);Total Unión Europea;4
Ambos sexos;29031 Burgo (El);Reino Unido;2
Ambos sexos;29031 Burgo (El);Alemania;0
Ambos sexos;29031 Burgo (El);Total Africa;1
Ambos sexos;29031 Burgo (El);Marruecos;1
Ambos sexos;29031 Burgo (El);Total América;0
Ambos sexos;29031 Burgo (El);Colombia;0
Ambos sexos;29031 Burgo (El);Ecuador;0
Ambos sexos;29031 Burgo (El);Total Asia;1
Ambos sexos;29031 Burgo (El);Resto;0
Ambos sexos;29032 Campillos;Total Unión Europea;9
Ambos sexos;29032 Campillos;Reino Unido;4
Ambos sexos;29032 Campillos;Alemania;2
Ambos sexos;29032 Campillos;Total Africa;20
Ambos sexos;29032 Campillos;Marruecos;15
Ambos sexos;29032 Campillos;Total América;17
Ambos sexos;29032 Campillos;Colombia;3
Ambos sexos;29032 Campillos;Ecuador;0
Ambos sexos;29032 Campillos;Total Asia;0
Ambos sexos;29032 Campillos;Resto;0
Ambos sexos;29033 Canillas de Aceituno;Total Unión Europea;39
Ambos sexos;29033 Canillas de Aceituno;Reino Unido;26
Ambos sexos;29033 Canillas de Aceituno;Alemania;6
Ambos sexos;29033 Canillas de Aceituno;Total Africa;4
Ambos sexos;29033 Canillas de Aceituno;Marruecos;1
Ambos sexos;29033 Canillas de Aceituno;Total América;1
Ambos sexos;29033 Canillas de Aceituno;Colombia;1
Ambos sexos;29033 Canillas de Aceituno;Ecuador;0
Ambos sexos;29033 Canillas de Aceituno;Total Asia;0
Ambos sexos;29033 Canillas de Aceituno;Resto;0
Ambos sexos;29034 Canillas de Albaida;Total Unión Europea;131
Ambos sexos;29034 Canillas de Albaida;Reino Unido;98
Ambos sexos;29034 Canillas de Albaida;Alemania;13
Ambos sexos;29034 Canillas de Albaida;Total Africa;6
Ambos sexos;29034 Canillas de Albaida;Marruecos;5
Ambos sexos;29034 Canillas de Albaida;Total América;4
Ambos sexos;29034 Canillas de Albaida;Colombia;0
Ambos sexos;29034 Canillas de Albaida;Ecuador;1
Ambos sexos;29034 Canillas de Albaida;Total Asia;0
Ambos sexos;29034 Canillas de Albaida;Resto;1
Ambos sexos;29035 Cañete la Real;Total Unión Europea;0
Ambos sexos;29035 Cañete la Real;Reino Unido;0
Ambos sexos;29035 Cañete la Real;Alemania;0
Ambos sexos;29035 Cañete la Real;Total Africa;0
Ambos sexos;29035 Cañete la Real;Marruecos;0
Ambos sexos;29035 Cañete la Real;Total América;1
Ambos sexos;29035 Cañete la Real;Colombia;0
Ambos sexos;29035 Cañete la Real;Ecuador;0
