Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;14038 Lucena;Reino Unido;15
Ambos sexos;14038 Lucena;Alemania;2
Ambos sexos;14038 Lucena;Total Africa;266
Ambos sexos;14038 Lucena;Marruecos;190
Ambos sexos;14038 Lucena;Total América;310
Ambos sexos;14038 Lucena;Colombia;140
Ambos sexos;14038 Lucena;Ecuador;104
Ambos sexos;14038 Lucena;Total Asia;21
Ambos sexos;14038 Lucena;Resto;0
Ambos sexos;14039 Luque;Total Unión Europea;7
Ambos sexos;14039 Luque;Reino Unido;0
Ambos sexos;14039 Luque;Alemania;4
Ambos sexos;14039 Luque;Total Africa;0
Ambos sexos;14039 Luque;Marruecos;0
Ambos sexos;14039 Luque;Total América;0
Ambos sexos;14039 Luque;Colombia;0
Ambos sexos;14039 Luque;Ecuador;0
Ambos sexos;14039 Luque;Total Asia;0
Ambos sexos;14039 Luque;Resto;0
Ambos sexos;14040 Montalbán de Córdoba;Total Unión Europea;1
Ambos sexos;14040 Montalbán de Córdoba;Reino Unido;0
Ambos sexos;14040 Montalbán de Córdoba;Alemania;1
Ambos sexos;14040 Montalbán de Córdoba;Total Africa;8
Ambos sexos;14040 Montalbán de Córdoba;Marruecos;7
Ambos sexos;14040 Montalbán de Córdoba;Total América;2
Ambos sexos;14040 Montalbán de Córdoba;Colombia;0
Ambos sexos;14040 Montalbán de Córdoba;Ecuador;0
Ambos sexos;14040 Montalbán de Córdoba;Total Asia;0
Ambos sexos;14040 Montalbán de Córdoba;Resto;0
Ambos sexos;14041 Montemayor;Total Unión Europea;0
Ambos sexos;14041 Montemayor;Reino Unido;0
Ambos sexos;14041 Montemayor;Alemania;0
Ambos sexos;14041 Montemayor;Total Africa;14
Ambos sexos;14041 Montemayor;Marruecos;14
Ambos sexos;14041 Montemayor;Total América;0
Ambos sexos;14041 Montemayor;Colombia;0
Ambos sexos;14041 Montemayor;Ecuador;0
Ambos sexos;14041 Montemayor;Total Asia;0
Ambos sexos;14041 Montemayor;Resto;0
Ambos sexos;14042 Montilla;Total Unión Europea;11
Ambos sexos;14042 Montilla;Reino Unido;2
Ambos sexos;14042 Montilla;Alemania;2
Ambos sexos;14042 Montilla;Total Africa;31
Ambos sexos;14042 Montilla;Marruecos;23
Ambos sexos;14042 Montilla;Total América;46
Ambos sexos;14042 Montilla;Colombia;26
Ambos sexos;14042 Montilla;Ecuador;2
Ambos sexos;14042 Montilla;Total Asia;2
Ambos sexos;14042 Montilla;Resto;0
Ambos sexos;14043 Montoro;Total Unión Europea;7
Ambos sexos;14043 Montoro;Reino Unido;3
Ambos sexos;14043 Montoro;Alemania;0
Ambos sexos;14043 Montoro;Total Africa;6
Ambos sexos;14043 Montoro;Marruecos;6
Ambos sexos;14043 Montoro;Total América;13
Ambos sexos;14043 Montoro;Colombia;0
Ambos sexos;14043 Montoro;Ecuador;11
Ambos sexos;14043 Montoro;Total Asia;0
Ambos sexos;14043 Montoro;Resto;0
Ambos sexos;14044 Monturque;Total Unión Europea;3
Ambos sexos;14044 Monturque;Reino Unido;0
Ambos sexos;14044 Monturque;Alemania;0
Ambos sexos;14044 Monturque;Total Africa;2
Ambos sexos;14044 Monturque;Marruecos;1
Ambos sexos;14044 Monturque;Total América;2
Ambos sexos;14044 Monturque;Colombia;0
Ambos sexos;14044 Monturque;Ecuador;0
Ambos sexos;14044 Monturque;Total Asia;0
Ambos sexos;14044 Monturque;Resto;0
Ambos sexos;14045 Moriles;Total Unión Europea;0
Ambos sexos;14045 Moriles;Reino Unido;0
Ambos sexos;14045 Moriles;Alemania;0
Ambos sexos;14045 Moriles;Total Africa;0
Ambos sexos;14045 Moriles;Marruecos;0
Ambos sexos;14045 Moriles;Total América;0
Ambos sexos;14045 Moriles;Colombia;0
Ambos sexos;14045 Moriles;Ecuador;0
Ambos sexos;14045 Moriles;Total Asia;0
Ambos sexos;14045 Moriles;Resto;0
Ambos sexos;14046 Nueva Carteya;Total Unión Europea;0
Ambos sexos;14046 Nueva Carteya;Reino Unido;0
Ambos sexos;14046 Nueva Carteya;Alemania;0
Ambos sexos;14046 Nueva Carteya;Total Africa;2
Ambos sexos;14046 Nueva Carteya;Marruecos;2
Ambos sexos;14046 Nueva Carteya;Total América;2
Ambos sexos;14046 Nueva Carteya;Colombia;2
Ambos sexos;14046 Nueva Carteya;Ecuador;0
Ambos sexos;14046 Nueva Carteya;Total Asia;0
Ambos sexos;14046 Nueva Carteya;Resto;0
Ambos sexos;14047 Obejo;Total Unión Europea;0
Ambos sexos;14047 Obejo;Reino Unido;0
Ambos sexos;14047 Obejo;Alemania;0
Ambos sexos;14047 Obejo;Total Africa;1
Ambos sexos;14047 Obejo;Marruecos;0
Ambos sexos;14047 Obejo;Total América;0
Ambos sexos;14047 Obejo;Colombia;0
Ambos sexos;14047 Obejo;Ecuador;0
Ambos sexos;14047 Obejo;Total Asia;1
Ambos sexos;14047 Obejo;Resto;0
Ambos sexos;14048 Palenciana;Total Unión Europea;1
Ambos sexos;14048 Palenciana;Reino Unido;0
Ambos sexos;14048 Palenciana;Alemania;0
Ambos sexos;14048 Palenciana;Total Africa;14
Ambos sexos;14048 Palenciana;Marruecos;5
Ambos sexos;14048 Palenciana;Total América;0
Ambos sexos;14048 Palenciana;Colombia;0
Ambos sexos;14048 Palenciana;Ecuador;0
Ambos sexos;14048 Palenciana;Total Asia;0
Ambos sexos;14048 Palenciana;Resto;0
Ambos sexos;14049 Palma del Río;Total Unión Europea;20
Ambos sexos;14049 Palma del Río;Reino Unido;3
Ambos sexos;14049 Palma del Río;Alemania;1
Ambos sexos;14049 Palma del Río;Total Africa;23
Ambos sexos;14049 Palma del Río;Marruecos;20
Ambos sexos;14049 Palma del Río;Total América;28
Ambos sexos;14049 Palma del Río;Colombia;6
Ambos sexos;14049 Palma del Río;Ecuador;2
Ambos sexos;14049 Palma del Río;Total Asia;1
Ambos sexos;14049 Palma del Río;Resto;0
Ambos sexos;14050 Pedro Abad;Total Unión Europea;1
Ambos sexos;14050 Pedro Abad;Reino Unido;0
Ambos sexos;14050 Pedro Abad;Alemania;0
Ambos sexos;14050 Pedro Abad;Total Africa;4
Ambos sexos;14050 Pedro Abad;Marruecos;3
Ambos sexos;14050 Pedro Abad;Total América;0
Ambos sexos;14050 Pedro Abad;Colombia;0
Ambos sexos;14050 Pedro Abad;Ecuador;0
Ambos sexos;14050 Pedro Abad;Total Asia;25
Ambos sexos;14050 Pedro Abad;Resto;0
Ambos sexos;14051 Pedroche;Total Unión Europea;0
Ambos sexos;14051 Pedroche;Reino Unido;0
Ambos sexos;14051 Pedroche;Alemania;0
Ambos sexos;14051 Pedroche;Total Africa;0
Ambos sexos;14051 Pedroche;Marruecos;0
Ambos sexos;14051 Pedroche;Total América;1
Ambos sexos;14051 Pedroche;Colombia;0
Ambos sexos;14051 Pedroche;Ecuador;0
Ambos sexos;14051 Pedroche;Total Asia;0
Ambos sexos;14051 Pedroche;Resto;0
Ambos sexos;14052 Peñarroya-Pueblonuevo;Total Unión Europea;30
Ambos sexos;14052 Peñarroya-Pueblonuevo;Reino Unido;7
Ambos sexos;14052 Peñarroya-Pueblonuevo;Alemania;2
Ambos sexos;14052 Peñarroya-Pueblonuevo;Total Africa;3
Ambos sexos;14052 Peñarroya-Pueblonuevo;Marruecos;0
Ambos sexos;14052 Peñarroya-Pueblonuevo;Total América;12
Ambos sexos;14052 Peñarroya-Pueblonuevo;Colombia;5
Ambos sexos;14052 Peñarroya-Pueblonuevo;Ecuador;1
Ambos sexos;14052 Peñarroya-Pueblonuevo;Total Asia;19
Ambos sexos;14052 Peñarroya-Pueblonuevo;Resto;0
Ambos sexos;14053 Posadas;Total Unión Europea;9
Ambos sexos;14053 Posadas;Reino Unido;5
Ambos sexos;14053 Posadas;Alemania;1
Ambos sexos;14053 Posadas;Total Africa;1
Ambos sexos;14053 Posadas;Marruecos;1
Ambos sexos;14053 Posadas;Total América;10
