Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;21024 Corteconcepción;Total Unión Europea;4
Ambos sexos;21024 Corteconcepción;Reino Unido;0
Ambos sexos;21024 Corteconcepción;Alemania;4
Ambos sexos;21024 Corteconcepción;Total Africa;0
Ambos sexos;21024 Corteconcepción;Marruecos;0
Ambos sexos;21024 Corteconcepción;Total América;0
Ambos sexos;21024 Corteconcepción;Colombia;0
Ambos sexos;21024 Corteconcepción;Ecuador;0
Ambos sexos;21024 Corteconcepción;Total Asia;1
Ambos sexos;21024 Corteconcepción;Resto;0
Ambos sexos;21025 Cortegana;Total Unión Europea;31
Ambos sexos;21025 Cortegana;Reino Unido;0
Ambos sexos;21025 Cortegana;Alemania;7
Ambos sexos;21025 Cortegana;Total Africa;2
Ambos sexos;21025 Cortegana;Marruecos;0
Ambos sexos;21025 Cortegana;Total América;7
Ambos sexos;21025 Cortegana;Colombia;0
Ambos sexos;21025 Cortegana;Ecuador;1
Ambos sexos;21025 Cortegana;Total Asia;0
Ambos sexos;21025 Cortegana;Resto;0
Ambos sexos;21026 Cortelazor;Total Unión Europea;0
Ambos sexos;21026 Cortelazor;Reino Unido;0
Ambos sexos;21026 Cortelazor;Alemania;0
Ambos sexos;21026 Cortelazor;Total Africa;0
Ambos sexos;21026 Cortelazor;Marruecos;0
Ambos sexos;21026 Cortelazor;Total América;0
Ambos sexos;21026 Cortelazor;Colombia;0
Ambos sexos;21026 Cortelazor;Ecuador;0
Ambos sexos;21026 Cortelazor;Total Asia;0
Ambos sexos;21026 Cortelazor;Resto;0
Ambos sexos;21027 Cumbres de Enmedio;Total Unión Europea;0
Ambos sexos;21027 Cumbres de Enmedio;Reino Unido;0
Ambos sexos;21027 Cumbres de Enmedio;Alemania;0
Ambos sexos;21027 Cumbres de Enmedio;Total Africa;0
Ambos sexos;21027 Cumbres de Enmedio;Marruecos;0
Ambos sexos;21027 Cumbres de Enmedio;Total América;0
Ambos sexos;21027 Cumbres de Enmedio;Colombia;0
Ambos sexos;21027 Cumbres de Enmedio;Ecuador;0
Ambos sexos;21027 Cumbres de Enmedio;Total Asia;0
Ambos sexos;21027 Cumbres de Enmedio;Resto;0
Ambos sexos;21028 Cumbres de San Bartolomé;Total Unión Europea;0
Ambos sexos;21028 Cumbres de San Bartolomé;Reino Unido;0
Ambos sexos;21028 Cumbres de San Bartolomé;Alemania;0
Ambos sexos;21028 Cumbres de San Bartolomé;Total Africa;0
Ambos sexos;21028 Cumbres de San Bartolomé;Marruecos;0
Ambos sexos;21028 Cumbres de San Bartolomé;Total América;0
Ambos sexos;21028 Cumbres de San Bartolomé;Colombia;0
Ambos sexos;21028 Cumbres de San Bartolomé;Ecuador;0
Ambos sexos;21028 Cumbres de San Bartolomé;Total Asia;0
Ambos sexos;21028 Cumbres de San Bartolomé;Resto;0
