Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;18035 Cádiar;Total Asia;0
Ambos sexos;18035 Cádiar;Resto;0
Ambos sexos;18036 Cájar;Total Unión Europea;20
Ambos sexos;18036 Cájar;Reino Unido;2
Ambos sexos;18036 Cájar;Alemania;7
Ambos sexos;18036 Cájar;Total Africa;4
Ambos sexos;18036 Cájar;Marruecos;4
Ambos sexos;18036 Cájar;Total América;15
Ambos sexos;18036 Cájar;Colombia;2
Ambos sexos;18036 Cájar;Ecuador;3
Ambos sexos;18036 Cájar;Total Asia;2
Ambos sexos;18036 Cájar;Resto;0
Ambos sexos;18037 Calicasas;Total Unión Europea;0
Ambos sexos;18037 Calicasas;Reino Unido;0
Ambos sexos;18037 Calicasas;Alemania;0
Ambos sexos;18037 Calicasas;Total Africa;1
Ambos sexos;18037 Calicasas;Marruecos;1
Ambos sexos;18037 Calicasas;Total América;2
Ambos sexos;18037 Calicasas;Colombia;2
Ambos sexos;18037 Calicasas;Ecuador;0
Ambos sexos;18037 Calicasas;Total Asia;1
Ambos sexos;18037 Calicasas;Resto;0
Ambos sexos;18038 Campotéjar;Total Unión Europea;3
Ambos sexos;18038 Campotéjar;Reino Unido;0
Ambos sexos;18038 Campotéjar;Alemania;0
Ambos sexos;18038 Campotéjar;Total Africa;1
Ambos sexos;18038 Campotéjar;Marruecos;1
Ambos sexos;18038 Campotéjar;Total América;2
Ambos sexos;18038 Campotéjar;Colombia;0
Ambos sexos;18038 Campotéjar;Ecuador;2
Ambos sexos;18038 Campotéjar;Total Asia;0
Ambos sexos;18038 Campotéjar;Resto;0
Ambos sexos;18039 Caniles;Total Unión Europea;13
Ambos sexos;18039 Caniles;Reino Unido;6
Ambos sexos;18039 Caniles;Alemania;0
Ambos sexos;18039 Caniles;Total Africa;5
Ambos sexos;18039 Caniles;Marruecos;5
Ambos sexos;18039 Caniles;Total América;3
Ambos sexos;18039 Caniles;Colombia;1
Ambos sexos;18039 Caniles;Ecuador;0
Ambos sexos;18039 Caniles;Total Asia;0
Ambos sexos;18039 Caniles;Resto;0
Ambos sexos;18040 Cáñar;Total Unión Europea;23
Ambos sexos;18040 Cáñar;Reino Unido;5
Ambos sexos;18040 Cáñar;Alemania;16
Ambos sexos;18040 Cáñar;Total Africa;0
Ambos sexos;18040 Cáñar;Marruecos;0
Ambos sexos;18040 Cáñar;Total América;0
Ambos sexos;18040 Cáñar;Colombia;0
Ambos sexos;18040 Cáñar;Ecuador;0
Ambos sexos;18040 Cáñar;Total Asia;0
Ambos sexos;18040 Cáñar;Resto;0
Ambos sexos;18042 Capileira;Total Unión Europea;6
Ambos sexos;18042 Capileira;Reino Unido;0
Ambos sexos;18042 Capileira;Alemania;3
Ambos sexos;18042 Capileira;Total Africa;1
Ambos sexos;18042 Capileira;Marruecos;1
Ambos sexos;18042 Capileira;Total América;0
Ambos sexos;18042 Capileira;Colombia;0
Ambos sexos;18042 Capileira;Ecuador;0
Ambos sexos;18042 Capileira;Total Asia;0
Ambos sexos;18042 Capileira;Resto;0
Ambos sexos;18043 Carataunas;Total Unión Europea;11
Ambos sexos;18043 Carataunas;Reino Unido;6
Ambos sexos;18043 Carataunas;Alemania;2
Ambos sexos;18043 Carataunas;Total Africa;0
Ambos sexos;18043 Carataunas;Marruecos;0
Ambos sexos;18043 Carataunas;Total América;3
Ambos sexos;18043 Carataunas;Colombia;2
Ambos sexos;18043 Carataunas;Ecuador;0
Ambos sexos;18043 Carataunas;Total Asia;2
Ambos sexos;18043 Carataunas;Resto;0
Ambos sexos;18044 Cástaras;Total Unión Europea;0
Ambos sexos;18044 Cástaras;Reino Unido;0
Ambos sexos;18044 Cástaras;Alemania;0
Ambos sexos;18044 Cástaras;Total Africa;0
Ambos sexos;18044 Cástaras;Marruecos;0
Ambos sexos;18044 Cástaras;Total América;0
Ambos sexos;18044 Cástaras;Colombia;0
Ambos sexos;18044 Cástaras;Ecuador;0
Ambos sexos;18044 Cástaras;Total Asia;0
Ambos sexos;18044 Cástaras;Resto;0
Ambos sexos;18045 Castilléjar;Total Unión Europea;1
Ambos sexos;18045 Castilléjar;Reino Unido;0
Ambos sexos;18045 Castilléjar;Alemania;0
Ambos sexos;18045 Castilléjar;Total Africa;1
Ambos sexos;18045 Castilléjar;Marruecos;0
Ambos sexos;18045 Castilléjar;Total América;7
Ambos sexos;18045 Castilléjar;Colombia;0
Ambos sexos;18045 Castilléjar;Ecuador;0
Ambos sexos;18045 Castilléjar;Total Asia;0
Ambos sexos;18045 Castilléjar;Resto;0
Ambos sexos;18046 Castril;Total Unión Europea;2
Ambos sexos;18046 Castril;Reino Unido;1
Ambos sexos;18046 Castril;Alemania;0
Ambos sexos;18046 Castril;Total Africa;0
Ambos sexos;18046 Castril;Marruecos;0
Ambos sexos;18046 Castril;Total América;10
Ambos sexos;18046 Castril;Colombia;1
Ambos sexos;18046 Castril;Ecuador;6
Ambos sexos;18046 Castril;Total Asia;0
Ambos sexos;18046 Castril;Resto;0
Ambos sexos;18047 Cenes de la Vega;Total Unión Europea;40
Ambos sexos;18047 Cenes de la Vega;Reino Unido;5
Ambos sexos;18047 Cenes de la Vega;Alemania;7
Ambos sexos;18047 Cenes de la Vega;Total Africa;18
Ambos sexos;18047 Cenes de la Vega;Marruecos;16
Ambos sexos;18047 Cenes de la Vega;Total América;65
Ambos sexos;18047 Cenes de la Vega;Colombia;24
Ambos sexos;18047 Cenes de la Vega;Ecuador;2
Ambos sexos;18047 Cenes de la Vega;Total Asia;3
Ambos sexos;18047 Cenes de la Vega;Resto;0
Ambos sexos;18048 Cijuela;Total Unión Europea;1
Ambos sexos;18048 Cijuela;Reino Unido;0
Ambos sexos;18048 Cijuela;Alemania;0
Ambos sexos;18048 Cijuela;Total Africa;0
Ambos sexos;18048 Cijuela;Marruecos;0
Ambos sexos;18048 Cijuela;Total América;0
Ambos sexos;18048 Cijuela;Colombia;0
Ambos sexos;18048 Cijuela;Ecuador;0
Ambos sexos;18048 Cijuela;Total Asia;0
Ambos sexos;18048 Cijuela;Resto;0
Ambos sexos;18049 Cogollos de Guadix;Total Unión Europea;6
Ambos sexos;18049 Cogollos de Guadix;Reino Unido;0
Ambos sexos;18049 Cogollos de Guadix;Alemania;1
Ambos sexos;18049 Cogollos de Guadix;Total Africa;0
Ambos sexos;18049 Cogollos de Guadix;Marruecos;0
Ambos sexos;18049 Cogollos de Guadix;Total América;0
Ambos sexos;18049 Cogollos de Guadix;Colombia;0
Ambos sexos;18049 Cogollos de Guadix;Ecuador;0
