Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;055  Priego de Córdoba;Resto;..
Ambos sexos;056  Puente Genil;Africa;11
Ambos sexos;056  Puente Genil;América;11
Ambos sexos;056  Puente Genil;Asia;6
Ambos sexos;056  Puente Genil;Europa;17
Ambos sexos;056  Puente Genil;Resto;..
Ambos sexos;057  Rambla (La);Africa;1
Ambos sexos;057  Rambla (La);América;2
Ambos sexos;057  Rambla (La);Asia;..
Ambos sexos;057  Rambla (La);Europa;4
Ambos sexos;057  Rambla (La);Resto;..
Ambos sexos;058  Rute;Africa;4
Ambos sexos;058  Rute;América;4
Ambos sexos;058  Rute;Asia;..
Ambos sexos;058  Rute;Europa;5
Ambos sexos;058  Rute;Resto;..
Ambos sexos;059  San Sebastián de los Ballesteros;Africa;..
Ambos sexos;059  San Sebastián de los Ballesteros;América;..
Ambos sexos;059  San Sebastián de los Ballesteros;Asia;..
Ambos sexos;059  San Sebastián de los Ballesteros;Europa;..
Ambos sexos;059  San Sebastián de los Ballesteros;Resto;..
Ambos sexos;060  Santaella;Africa;3
Ambos sexos;060  Santaella;América;..
Ambos sexos;060  Santaella;Asia;..
Ambos sexos;060  Santaella;Europa;5
Ambos sexos;060  Santaella;Resto;..
Ambos sexos;061  Santa Eufemia;Africa;..
Ambos sexos;061  Santa Eufemia;América;..
Ambos sexos;061  Santa Eufemia;Asia;..
Ambos sexos;061  Santa Eufemia;Europa;..
Ambos sexos;061  Santa Eufemia;Resto;..
Ambos sexos;062  Torrecampo;Africa;..
Ambos sexos;062  Torrecampo;América;1
Ambos sexos;062  Torrecampo;Asia;..
Ambos sexos;062  Torrecampo;Europa;..
Ambos sexos;062  Torrecampo;Resto;..
Ambos sexos;063  Valenzuela;Africa;..
Ambos sexos;063  Valenzuela;América;..
Ambos sexos;063  Valenzuela;Asia;..
Ambos sexos;063  Valenzuela;Europa;..
Ambos sexos;063  Valenzuela;Resto;..
Ambos sexos;064  Valsequillo;Africa;..
Ambos sexos;064  Valsequillo;América;..
Ambos sexos;064  Valsequillo;Asia;..
Ambos sexos;064  Valsequillo;Europa;..
Ambos sexos;064  Valsequillo;Resto;..
