Municipios,Año,Total,Provincia,Clasificación
Alsodux,2008,173.0,Almería,1
Alsodux,2007,176.0,Almería,1
Alsodux,2006,131.0,Almería,1
Alsodux,2005,121.0,Almería,1
Alsodux,2004,119.0,Almería,1
Alsodux,2003,109.0,Almería,1
Alsodux,2002,112.0,Almería,1
Alsodux,2001,113.0,Almería,1
Alsodux,2000,104.0,Almería,1
Alsodux,1999,105.0,Almería,1
Alsodux,1998,106.0,Almería,1
Antas,2019,3182.0,Almería,3
Antas,2018,3169.0,Almería,3
Antas,2017,3124.0,Almería,3
Antas,2016,3159.0,Almería,3
Antas,2015,3195.0,Almería,3
Antas,2014,3161.0,Almería,3
Antas,2013,3288.0,Almería,3
Antas,2012,3312.0,Almería,3
Antas,2011,3375.0,Almería,3
Antas,2010,3389.0,Almería,3
Antas,2009,3403.0,Almería,3
Antas,2008,3389.0,Almería,3
Antas,2007,3244.0,Almería,3
Antas,2006,3157.0,Almería,3
Antas,2005,3223.0,Almería,3
Antas,2004,3101.0,Almería,3
Antas,2003,3026.0,Almería,3
Antas,2002,2925.0,Almería,3
Antas,2001,2844.0,Almería,3
Antas,2000,2729.0,Almería,3
Antas,1999,2677.0,Almería,3
Antas,1998,2666.0,Almería,3
Arboleas,2019,4596.0,Almería,3
Arboleas,2018,4586.0,Almería,3
Arboleas,2017,4463.0,Almería,3
Arboleas,2016,4538.0,Almería,3
Arboleas,2015,4670.0,Almería,3
Arboleas,2014,4698.0,Almería,3
Arboleas,2013,5126.0,Almería,3
Arboleas,2012,4990.0,Almería,3
Arboleas,2011,4863.0,Almería,3
Arboleas,2010,4731.0,Almería,3
Arboleas,2009,4527.0,Almería,3
Arboleas,2008,4301.0,Almería,3
Arboleas,2007,3904.0,Almería,3
Arboleas,2006,3402.0,Almería,3
Arboleas,2005,2819.0,Almería,3
Arboleas,2004,2310.0,Almería,3
Arboleas,2003,2000.0,Almería,3
Arboleas,2002,1782.0,Almería,3
Arboleas,2001,1615.0,Almería,3
Arboleas,2000,1540.0,Almería,3
Arboleas,1999,1540.0,Almería,3
Arboleas,1998,1540.0,Almería,3
Armuña de Almanzora,2019,302.0,Almería,1
Armuña de Almanzora,2018,321.0,Almería,1
Armuña de Almanzora,2017,327.0,Almería,1
Armuña de Almanzora,2016,326.0,Almería,1
Armuña de Almanzora,2015,332.0,Almería,1
Armuña de Almanzora,2014,332.0,Almería,1
Armuña de Almanzora,2013,338.0,Almería,1
Armuña de Almanzora,2012,340.0,Almería,1
Armuña de Almanzora,2011,342.0,Almería,1
Armuña de Almanzora,2010,339.0,Almería,1
Armuña de Almanzora,2009,335.0,Almería,1
Armuña de Almanzora,2008,330.0,Almería,1
Armuña de Almanzora,2007,333.0,Almería,1
Armuña de Almanzora,2006,321.0,Almería,1
Armuña de Almanzora,2005,322.0,Almería,1
Armuña de Almanzora,2004,310.0,Almería,1
Armuña de Almanzora,2003,303.0,Almería,1
Armuña de Almanzora,2002,327.0,Almería,1
Armuña de Almanzora,2001,327.0,Almería,1
Armuña de Almanzora,2000,322.0,Almería,1
Armuña de Almanzora,1999,324.0,Almería,1
Armuña de Almanzora,1998,330.0,Almería,1
Bacares,2019,246.0,Almería,1
Bacares,2018,232.0,Almería,1
Bacares,2017,244.0,Almería,1
Bacares,2016,272.0,Almería,1
Bacares,2015,278.0,Almería,1
Bacares,2014,267.0,Almería,1
Bacares,2013,273.0,Almería,1
Bacares,2012,292.0,Almería,1
Bacares,2011,305.0,Almería,1
Bacares,2010,274.0,Almería,1
Bacares,2009,280.0,Almería,1
Bacares,2008,283.0,Almería,1
Bacares,2007,308.0,Almería,1
Bacares,2006,290.0,Almería,1
Bacares,2005,291.0,Almería,1
Bacares,2004,296.0,Almería,1
Bacares,2003,287.0,Almería,1
Bacares,2002,295.0,Almería,1
Bacares,2001,295.0,Almería,1
Bacares,2000,291.0,Almería,1
Bacares,1999,284.0,Almería,1
Bacares,1998,278.0,Almería,1
Bayárcal,2019,317.0,Almería,1
Bayárcal,2018,284.0,Almería,1
Bayárcal,2017,303.0,Almería,1
Bayárcal,2016,323.0,Almería,1
Bayárcal,2015,336.0,Almería,1
Bayárcal,2014,340.0,Almería,1
Bayárcal,2013,347.0,Almería,1
Bayárcal,2012,376.0,Almería,1
Bayárcal,2011,403.0,Almería,1
Bayárcal,2010,358.0,Almería,1
Bayárcal,2009,306.0,Almería,1
Bayárcal,2008,317.0,Almería,1
Bayárcal,2007,273.0,Almería,1
Bayárcal,2006,277.0,Almería,1
Bayárcal,2005,303.0,Almería,1
Bayárcal,2004,305.0,Almería,1
Bayárcal,2003,315.0,Almería,1
Bayárcal,2002,335.0,Almería,1
Bayárcal,2001,329.0,Almería,1
Bayárcal,2000,320.0,Almería,1
Bayárcal,1999,334.0,Almería,1
Bayárcal,1998,334.0,Almería,1
Bayarque,2019,215.0,Almería,1
Bayarque,2018,206.0,Almería,1
Bayarque,2017,215.0,Almería,1
Bayarque,2016,220.0,Almería,1
Bayarque,2015,216.0,Almería,1
Bayarque,2014,216.0,Almería,1
Bayarque,2013,216.0,Almería,1
Bayarque,2012,224.0,Almería,1
