,Sexo,Municipios,País de nacimiento,Total,Año
195,Ambos sexos,Bacares,Total Unión Europea,1.0,2002
196,Ambos sexos,Bacares,Total Europa,6.0,2004
197,Ambos sexos,Bacares,Total Europa,6,2005
198,Ambos sexos,Bacares,Total Europa,3.0,2006
199,Ambos sexos,Bacares,Total Europa,6.0,2007
200,Ambos sexos,Bacares,Total Europa,5.0,2008
201,Ambos sexos,Bacares,Total Europa,4.0,2009
202,Ambos sexos,Bacares,Total Europa,4.0,2010
203,Ambos sexos,Bacares,Total Europa,4.0,2011
204,Ambos sexos,Bacares,Total Europa,4.0,2012
205,Ambos sexos,Bacares,Total Europa,3.0,2013
206,Ambos sexos,Bacares,Total Europa,3.0,2014
207,Ambos sexos,Bacares,Total Europa,3.0,2015
208,Ambos sexos,Bacares,Total Europa,3.0,2016
209,Ambos sexos,Bacares,Total Europa,3.0,2017
210,Ambos sexos,Bacares,Total Europa,2.0,2018
211,Ambos sexos,Bacares,Total Europa,2.0,2019
212,Ambos sexos,Bayárcal,Europa,2,1998
213,Ambos sexos,Bayárcal,Europa,1,1999
214,Ambos sexos,Bayárcal,Europa,1,2000
215,Ambos sexos,Bayárcal,Europa,1,2001
216,Ambos sexos,Bayárcal,Total Unión Europea,0.0,2002
217,Ambos sexos,Bayárcal,Total Europa,0.0,2004
218,Ambos sexos,Bayárcal,Total Europa,1,2005
219,Ambos sexos,Bayárcal,Total Europa,1.0,2006
220,Ambos sexos,Bayárcal,Total Europa,1.0,2007
221,Ambos sexos,Bayárcal,Total Europa,6.0,2008
222,Ambos sexos,Bayárcal,Total Europa,6.0,2009
223,Ambos sexos,Bayárcal,Total Europa,15.0,2010
224,Ambos sexos,Bayárcal,Total Europa,23.0,2011
225,Ambos sexos,Bayárcal,Total Europa,23.0,2012
226,Ambos sexos,Bayárcal,Total Europa,13.0,2013
227,Ambos sexos,Bayárcal,Total Europa,11.0,2014
228,Ambos sexos,Bayárcal,Total Europa,12.0,2015
229,Ambos sexos,Bayárcal,Total Europa,11.0,2016
230,Ambos sexos,Bayárcal,Total Europa,9.0,2017
231,Ambos sexos,Bayárcal,Total Europa,5.0,2018
232,Ambos sexos,Bayárcal,Total Europa,7.0,2019
233,Ambos sexos,Bayarque,Europa,0,1998
234,Ambos sexos,Bayarque,Europa,0,1999
235,Ambos sexos,Bayarque,Europa,0,2000
236,Ambos sexos,Bayarque,Europa,0,2001
237,Ambos sexos,Bayarque,Total Unión Europea,0.0,2002
238,Ambos sexos,Bayarque,Total Europa,3.0,2004
239,Ambos sexos,Bayarque,Total Europa,8,2005
240,Ambos sexos,Bayarque,Total Europa,7.0,2006
241,Ambos sexos,Bayarque,Total Europa,12.0,2007
242,Ambos sexos,Bayarque,Total Europa,15.0,2008
243,Ambos sexos,Bayarque,Total Europa,15.0,2009
244,Ambos sexos,Bayarque,Total Europa,19.0,2010
245,Ambos sexos,Bayarque,Total Europa,19.0,2011
246,Ambos sexos,Bayarque,Total Europa,18.0,2012
247,Ambos sexos,Bayarque,Total Europa,16.0,2013
248,Ambos sexos,Bayarque,Total Europa,15.0,2014
249,Ambos sexos,Bayarque,Total Europa,14.0,2015
250,Ambos sexos,Bayarque,Total Europa,13.0,2016
251,Ambos sexos,Bayarque,Total Europa,14.0,2017
252,Ambos sexos,Bayarque,Total Europa,15.0,2018
253,Ambos sexos,Bayarque,Total Europa,15.0,2019
254,Ambos sexos,Bédar,Europa,112,1998
255,Ambos sexos,Bédar,Europa,126,1999
256,Ambos sexos,Bédar,Europa,140,2000
257,Ambos sexos,Bédar,Europa,151,2001
258,Ambos sexos,Bédar,Total Unión Europea,202.0,2002
259,Ambos sexos,Bédar,Total Europa,388.0,2006
260,Ambos sexos,Bédar,Total Europa,457.0,2007
261,Ambos sexos,Bédar,Total Europa,519.0,2008
262,Ambos sexos,Bédar,Total Europa,558.0,2009
263,Ambos sexos,Bédar,Total Europa,582.0,2010
264,Ambos sexos,Bédar,Total Europa,592.0,2011
265,Ambos sexos,Bédar,Total Europa,613.0,2012
266,Ambos sexos,Bédar,Total Europa,639.0,2013
267,Ambos sexos,Bédar,Total Europa,510.0,2014
268,Ambos sexos,Bédar,Total Europa,511.0,2015
269,Ambos sexos,Bédar,Total Europa,423.0,2016
