Provincia,Municipios,Población,Resultado Izquierda,Resultado Derecha,Diferencia,Fecha,Mes,Año
Granada,Juviles,258,6.98,92.25,-85.27,197706,06,1977
Granada,La Calahorra,1218,36.81,63.19,-26.38,197706,06,1977
Granada,Láchar,1775,61.87,38.13,23.74,197706,06,1977
Granada,Lanjarón,4053,19.92,80.08,-60.16,197706,06,1977
Granada,Lanteira,882,23.9,75.44,-51.54,197706,06,1977
Granada,Lecrín,2807,29.16,70.77,-41.61,197706,06,1977
Granada,Lentegí,401,13.75,86.25,-72.5,197706,06,1977
Granada,Lobras,402,4.21,95.79,-91.58,197706,06,1977
Granada,Loja,22001,48.71,51.08,-2.37,197706,06,1977
Granada,Lugros,669,23.1,76.21,-53.11,197706,06,1977
Granada,Lújar,827,11.14,88.59,-77.45,197706,06,1977
Granada,La Malahá,1468,75.52,24.48,51.04,197706,06,1977
Granada,Maracena,9039,74.65,25.29,49.36,197706,06,1977
Granada,Marchal,555,15.07,84.93,-69.86,197706,06,1977
Granada,Moclín,5158,70.76,29.08,41.68,197706,06,1977
Granada,Molvízar,2426,22.73,77.27,-54.54,197706,06,1977
Granada,Monachil,3081,62.38,37.62,24.76,197706,06,1977
Granada,Montefrío,10203,34.11,65.5,-31.39,197706,06,1977
Granada,Montejícar,3049,58.49,41.24,17.25,197706,06,1977
Granada,Montillana,1583,62.04,37.96,24.08,197706,06,1977
Granada,Moraleda de Zafayona,2215,68.17,31.65,36.52,197706,06,1977
Granada,Motril,35471,64.61,35.26,29.35,197706,06,1977
Granada,Murtas,1765,7.28,92.34,-85.06,197706,06,1977
Granada,Nigüelas,1572,19.97,80.03,-60.06,197706,06,1977
Granada,Nívar,379,25.82,74.18,-48.36,197706,06,1977
Granada,Ogíjares,2290,41.8,58.2,-16.4,197706,06,1977
Granada,Orce,2423,30.94,69.06,-38.12,197706,06,1977
Granada,Órgiva,5368,26.87,72.76,-45.89,197706,06,1977
Granada,Otívar,1188,16.98,83.02,-66.04,197706,06,1977
Granada,Villa de Otura,2240,38.2,60.39,-22.19,197706,06,1977
Granada,Padul,6109,35.52,64.3,-28.78,197706,06,1977
Granada,Pampaneira,660,12.89,87.11,-74.22,197706,06,1977
Granada,Pedro Martínez,2271,67.52,32.27,35.25,197706,06,1977
Granada,Peligros,3755,70.98,29.02,41.96,197706,06,1977
Granada,La Peza,1802,19.39,80.48,-61.09,197706,06,1977
Granada,El Pinar,1086,12.28,87.54,-75.26,197706,06,1977
Granada,Pinos Genil,863,47.55,52.45,-4.9,197706,06,1977
Granada,Pinos Puente,12292,68.28,31.64,36.64,197706,06,1977
Granada,Píñar,1880,60.39,39.61,20.78,197706,06,1977
Granada,Polícar,300,29.92,69.29,-39.37,197706,06,1977
Granada,Polopos,1562,39.5,60.5,-21.0,197706,06,1977
Granada,Pórtugos,502,10.48,89.52,-79.04,197706,06,1977
Granada,Puebla de Don Fadrique,4236,32.95,66.83,-33.88,197706,06,1977
Granada,Pulianas,1890,61.31,38.47,22.84,197706,06,1977
Granada,Purullena,2410,36.24,63.66,-27.42,197706,06,1977
Granada,Quéntar,1313,28.72,70.21,-41.49,197706,06,1977
Granada,Rubite,828,19.94,80.06,-60.12,197706,06,1977
Granada,Salar,2956,66.97,32.97,34.0,197706,06,1977
Granada,Salobreña,8077,58.97,40.93,18.04,197706,06,1977
Granada,Santa Cruz del Comercio,694,56.64,43.36,13.28,197706,06,1977
Granada,Santa Fe,10304,66.75,33.01,33.74,197706,06,1977
Granada,Soportújar,346,4.22,95.78,-91.56,197706,06,1977
Granada,Sorvilán,1108,13.5,86.5,-73.0,197706,06,1977
Granada,Torre-Cardela,1579,45.43,54.57,-9.14,197706,06,1977
Granada,Torvizcón,2023,5.02,94.87,-89.85,197706,06,1977
Granada,Trevélez,1303,36.59,63.41,-26.82,197706,06,1977
Granada,Turón,902,9.65,90.35,-80.7,197706,06,1977
Granada,Ugíjar,3211,12.36,87.32,-74.96,197706,06,1977
Granada,Válor,2034,3.61,96.39,-92.78,197706,06,1977
Granada,Vélez de Benaudalla,2826,52.42,46.41,6.01,197706,06,1977
Granada,Ventas de Huelma,783,35.82,63.7,-27.88,197706,06,1977
Granada,Villanueva de las Torres,1106,73.27,26.73,46.54,197706,06,1977
Granada,Villanueva Mesía,1768,47.64,52.36,-4.72,197706,06,1977
Granada,Víznar,648,35.87,64.13,-28.26,197706,06,1977
Granada,Zafarraya,2368,63.08,36.92,26.16,197706,06,1977
Granada,La Zubia,5600,68.57,31.33,37.24,197706,06,1977
Granada,Zújar,6134,42.62,57.15,-14.53,197706,06,1977
Granada,La Taha,1308,26.81,73.19,-46.38,197706,06,1977
Granada,El Valle,2017,10.52,89.38,-78.86,197706,06,1977
Granada,Nevada,2008,17.51,81.68,-64.17,197706,06,1977
Granada,Alpujarra de la Sierra,1708,19.95,79.38,-59.43,197706,06,1977
Granada,Las Gabias,4848,41.16,58.59,-17.43,197706,06,1977
Granada,Los Guajares,1621,21.96,78.04,-56.08,197706,06,1977
Granada,Valle del Zalabí,2918,25.19,74.34,-49.15,197706,06,1977
Granada,Villamena,1140,12.45,87.36,-74.91,197706,06,1977
Granada,Morelábor,1291,55.45,44.24,11.21,197706,06,1977
Huelva,Alájar,1035,14.85,85.15,-70.3,197706,06,1977
Huelva,Aljaraque,3776,42.95,57.0,-14.05,197706,06,1977
Huelva,El Almendro,985,63.8,36.2,27.6,197706,06,1977
Huelva,Almonaster la Real,3026,54.49,45.37,9.12,197706,06,1977
Huelva,Almonte,12509,56.38,43.4,12.98,197706,06,1977
Huelva,Alosno,5566,67.11,32.78,34.33,197706,06,1977
Huelva,Aracena,6475,45.22,54.53,-9.31,197706,06,1977
Huelva,Aroche,4490,39.63,60.24,-20.61,197706,06,1977
Huelva,Arroyomolinos de León,1346,20.69,79.31,-58.62,197706,06,1977
Huelva,Ayamonte,13883,29.25,70.29,-41.04,197706,06,1977
Huelva,Beas,4012,59.35,40.48,18.87,197706,06,1977
Huelva,Berrocal,621,27.38,72.33,-44.95,197706,06,1977
Huelva,Bollullos Par del Condado,11785,51.44,48.48,2.96,197706,06,1977
Huelva,Bonares,4729,39.99,59.94,-19.95,197706,06,1977
