Municipios,Origen,Total,Año,Provincia
Paterna del Río,América,0.0,1998,Almería
Paterna del Río,Asia,0.0,1998,Almería
Paterna del Río,Europa,0.0,1998,Almería
Paterna del Río,Oceanía,0.0,1998,Almería
Pechina,Africa,0.03755163349605708,1998,Almería
Pechina,América,0.11265490048817123,1998,Almería
Pechina,Asia,0.0,1998,Almería
Pechina,Europa,0.7510326699211416,1998,Almería
Pechina,Oceanía,0.0,1998,Almería
Pulpí,Africa,0.8316008316008316,1998,Almería
Pulpí,América,0.189000189000189,1998,Almería
Pulpí,Asia,0.0,1998,Almería
Pulpí,Europa,1.512001512001512,1998,Almería
Pulpí,Oceanía,0.0,1998,Almería
Purchena,Africa,0.0,1998,Almería
Purchena,América,0.06119951040391676,1998,Almería
Purchena,Asia,0.0,1998,Almería
Purchena,Europa,0.06119951040391676,1998,Almería
Purchena,Oceanía,0.0,1998,Almería
Rágol,Africa,0.0,1998,Almería
Rágol,América,0.0,1998,Almería
Rágol,Asia,0.0,1998,Almería
Rágol,Europa,0.0,1998,Almería
Rágol,Oceanía,0.0,1998,Almería
Rioja,Africa,0.0,1998,Almería
Rioja,América,0.08438818565400844,1998,Almería
Rioja,Asia,0.0,1998,Almería
Rioja,Europa,0.5907172995780591,1998,Almería
Rioja,Oceanía,0.0,1998,Almería
Roquetas de Mar,Africa,4.77551623872653,1998,Almería
Roquetas de Mar,América,0.4903651865359026,1998,Almería
Roquetas de Mar,Asia,0.07392439998028683,1998,Almería
Roquetas de Mar,Europa,1.68301217288453,1998,Almería
Roquetas de Mar,Oceanía,0.0,1998,Almería
Santa Cruz de Marchena,Africa,0.0,1998,Almería
Santa Cruz de Marchena,América,0.91324200913242,1998,Almería
Santa Cruz de Marchena,Asia,0.0,1998,Almería
Santa Cruz de Marchena,Europa,2.28310502283105,1998,Almería
Santa Cruz de Marchena,Oceanía,0.0,1998,Almería
Santa Fe de Mondújar,Africa,0.0,1998,Almería
Santa Fe de Mondújar,América,0.0,1998,Almería
Santa Fe de Mondújar,Asia,0.0,1998,Almería
Santa Fe de Mondújar,Europa,0.24271844660194172,1998,Almería
Santa Fe de Mondújar,Oceanía,0.0,1998,Almería
Senés,Africa,0.0,1998,Almería
Senés,América,0.0,1998,Almería
Senés,Asia,0.0,1998,Almería
Senés,Europa,0.5970149253731344,1998,Almería
Senés,Oceanía,0.0,1998,Almería
Serón,Africa,0.0,1998,Almería
Serón,América,0.03741114852225963,1998,Almería
Serón,Asia,0.0,1998,Almería
Serón,Europa,0.03741114852225963,1998,Almería
Serón,Oceanía,0.0,1998,Almería
Sierro,Africa,0.0,1998,Almería
Sierro,América,0.0,1998,Almería
Sierro,Asia,0.0,1998,Almería
Sierro,Europa,0.0,1998,Almería
Sierro,Oceanía,0.0,1998,Almería
Somontín,Africa,0.0,1998,Almería
Somontín,América,0.0,1998,Almería
Somontín,Asia,0.0,1998,Almería
Somontín,Europa,0.2,1998,Almería
Somontín,Oceanía,0.0,1998,Almería
Sorbas,Africa,0.10917030567685589,1998,Almería
Sorbas,América,0.10917030567685589,1998,Almería
Sorbas,Asia,0.0,1998,Almería
Sorbas,Europa,1.2372634643377,1998,Almería
Sorbas,Oceanía,0.0,1998,Almería
Suflí,Africa,0.0,1998,Almería
Suflí,América,0.0,1998,Almería
Suflí,Asia,0.0,1998,Almería
Suflí,Europa,0.0,1998,Almería
Suflí,Oceanía,0.0,1998,Almería
Tabernas,Africa,0.061709348966368406,1998,Almería
Tabernas,América,0.12341869793273681,1998,Almería
Tabernas,Asia,0.0,1998,Almería
Tabernas,Europa,0.24683739586547362,1998,Almería
Tabernas,Oceanía,0.0,1998,Almería
Taberno,Africa,0.0,1998,Almería
Taberno,América,0.09980039920159679,1998,Almería
Taberno,Asia,0.0,1998,Almería
Taberno,Europa,0.19960079840319359,1998,Almería
Taberno,Oceanía,0.0,1998,Almería
Tahal,Africa,0.0,1998,Almería
Tahal,América,0.0,1998,Almería
Tahal,Asia,0.0,1998,Almería
Tahal,Europa,0.0,1998,Almería
Tahal,Oceanía,0.0,1998,Almería
Terque,Africa,0.0,1998,Almería
Terque,América,0.0,1998,Almería
Terque,Asia,0.0,1998,Almería
Terque,Europa,0.23255813953488372,1998,Almería
Terque,Oceanía,0.0,1998,Almería
Tíjola,Africa,0.0,1998,Almería
Tíjola,América,0.07903055848261328,1998,Almería
Tíjola,Asia,0.0,1998,Almería
Tíjola,Europa,0.18440463645943098,1998,Almería
Tíjola,Oceanía,0.0,1998,Almería
Turre,Africa,0.046490004649000466,1998,Almería
Turre,América,0.09298000929800093,1998,Almería
Turre,Asia,0.0,1998,Almería
Turre,Europa,4.695490469549047,1998,Almería
Turre,Oceanía,0.0,1998,Almería
Turrillas,Africa,0.0,1998,Almería
Turrillas,América,0.0,1998,Almería
Turrillas,Asia,0.0,1998,Almería
Turrillas,Europa,0.0,1998,Almería
Turrillas,Oceanía,0.0,1998,Almería
Uleila del Campo,Africa,0.0,1998,Almería
Uleila del Campo,América,0.0,1998,Almería
Uleila del Campo,Asia,0.0,1998,Almería
Uleila del Campo,Europa,0.10319917440660474,1998,Almería
Uleila del Campo,Oceanía,0.0,1998,Almería
Urrácal,Africa,0.0,1998,Almería
Urrácal,América,0.0,1998,Almería
Urrácal,Asia,0.0,1998,Almería
Urrácal,Europa,0.0,1998,Almería
Urrácal,Oceanía,0.0,1998,Almería
Velefique,Africa,0.0,1998,Almería
Velefique,América,0.0,1998,Almería
Velefique,Asia,0.0,1998,Almería
Velefique,Europa,0.0,1998,Almería
Velefique,Oceanía,0.0,1998,Almería
Vélez-Blanco,Africa,0.0,1998,Almería
Vélez-Blanco,América,0.091324200913242,1998,Almería
Vélez-Blanco,Asia,0.0,1998,Almería
Vélez-Blanco,Europa,0.045662100456621,1998,Almería
Vélez-Blanco,Oceanía,0.0,1998,Almería
Vélez-Rubio,Africa,0.030945381401825775,1998,Almería
Vélez-Rubio,América,0.015472690700912888,1998,Almería
Vélez-Rubio,Asia,0.0,1998,Almería
Vélez-Rubio,Europa,0.17019959771004178,1998,Almería
