,Municipio,variable,value
312,Algeciras,marzo_2008,2.77
313,Almería,marzo_2008,3.01
314,Cádiz,marzo_2008,3.56
315,Córdoba,marzo_2008,3.31
316,Dos Hermanas,marzo_2008,3.38
317,Granada,marzo_2008,4.72
318,Huelva,marzo_2008,3.13
319,Jaén,marzo_2008,4.83
320,Jerez de la Frontera,marzo_2008,3.89
321,Marbella,marzo_2008,3.68
322,Málaga,marzo_2008,3.46
323,Sevilla,marzo_2008,4.24
324,Algeciras,abril_2008,2.85
325,Almería,abril_2008,3.67
326,Cádiz,abril_2008,4.28
327,Córdoba,abril_2008,3.56
328,Dos Hermanas,abril_2008,3.39
329,Granada,abril_2008,5.63
330,Huelva,abril_2008,3.49
331,Jaén,abril_2008,3.66
332,Jerez de la Frontera,abril_2008,4.82
333,Marbella,abril_2008,3.72
334,Málaga,abril_2008,3.84
335,Sevilla,abril_2008,4.59
336,Algeciras,mayo_2008,2.76
337,Almería,mayo_2008,3.55
338,Cádiz,mayo_2008,3.99
339,Córdoba,mayo_2008,3.87
340,Dos Hermanas,mayo_2008,3.02
341,Granada,mayo_2008,4.61
342,Huelva,mayo_2008,3.2
343,Jaén,mayo_2008,3.46
344,Jerez de la Frontera,mayo_2008,5.21
345,Marbella,mayo_2008,3.93
346,Málaga,mayo_2008,3.69
347,Sevilla,mayo_2008,4.58
348,Algeciras,junio_2008,2.88
349,Almería,junio_2008,3.19
350,Cádiz,junio_2008,4.58
351,Córdoba,junio_2008,3.75
352,Dos Hermanas,junio_2008,3.13
353,Granada,junio_2008,5.62
354,Huelva,junio_2008,3.37
355,Jaén,junio_2008,3.36
356,Jerez de la Frontera,junio_2008,4.79
357,Marbella,junio_2008,4.21
358,Málaga,junio_2008,3.69
359,Sevilla,junio_2008,4.37
360,Algeciras,julio_2008,4.11
361,Almería,julio_2008,3.54
362,Cádiz,julio_2008,5.38
363,Córdoba,julio_2008,4.0
364,Dos Hermanas,julio_2008,3.64
365,Granada,julio_2008,5.53
366,Huelva,julio_2008,4.04
367,Jaén,julio_2008,4.22
368,Jerez de la Frontera,julio_2008,4.81
369,Marbella,julio_2008,5.28
370,Málaga,julio_2008,4.11
371,Sevilla,julio_2008,4.74
372,Algeciras,agosto_2008,2.7
373,Almería,agosto_2008,2.34
374,Cádiz,agosto_2008,3.44
375,Córdoba,agosto_2008,2.48
376,Dos Hermanas,agosto_2008,2.42
377,Granada,agosto_2008,3.53
378,Huelva,agosto_2008,3.02
379,Jaén,agosto_2008,2.82
380,Jerez de la Frontera,agosto_2008,3.92
381,Marbella,agosto_2008,3.45
382,Málaga,agosto_2008,2.76
383,Sevilla,agosto_2008,2.95
384,Algeciras,septiembre_2008,3.01
385,Almería,septiembre_2008,3.92
386,Cádiz,septiembre_2008,4.53
387,Córdoba,septiembre_2008,3.74
388,Dos Hermanas,septiembre_2008,3.63
389,Granada,septiembre_2008,5.28
390,Huelva,septiembre_2008,3.39
391,Jaén,septiembre_2008,4.38
392,Jerez de la Frontera,septiembre_2008,5.52
393,Marbella,septiembre_2008,3.77
394,Málaga,septiembre_2008,4.18
395,Sevilla,septiembre_2008,4.81
396,Algeciras,octubre_2008,2.83
397,Almería,octubre_2008,4.04
398,Cádiz,octubre_2008,5.18
399,Córdoba,octubre_2008,3.62
400,Dos Hermanas,octubre_2008,3.03
401,Granada,octubre_2008,6.03
402,Huelva,octubre_2008,4.0
403,Jaén,octubre_2008,4.82
404,Jerez de la Frontera,octubre_2008,4.46
405,Marbella,octubre_2008,3.3
406,Málaga,octubre_2008,4.06
407,Sevilla,octubre_2008,4.8
408,Algeciras,noviembre_2008,2.48
409,Almería,noviembre_2008,2.93
