Municipios;Sexo;Periodo;Total
18020 Arenas del Rey;Total;2007;2157
18020 Arenas del Rey;Total;2006;2202
18020 Arenas del Rey;Total;2005;2157
18020 Arenas del Rey;Total;2004;1979
18020 Arenas del Rey;Total;2003;1976
18020 Arenas del Rey;Total;2002;2017
18020 Arenas del Rey;Total;2001;1937
18020 Arenas del Rey;Total;2000;1979
18020 Arenas del Rey;Total;1999;2043
18020 Arenas del Rey;Total;1998;2028
18021 Armilla;Total;2019;24174
18021 Armilla;Total;2018;23968
18021 Armilla;Total;2017;24028
18021 Armilla;Total;2016;23901
18021 Armilla;Total;2015;23623
18021 Armilla;Total;2014;23175
18021 Armilla;Total;2013;22904
18021 Armilla;Total;2012;22507
18021 Armilla;Total;2011;22283
18021 Armilla;Total;2010;21895
18021 Armilla;Total;2009;21380
18021 Armilla;Total;2008;20882
18021 Armilla;Total;2007;20115
18021 Armilla;Total;2006;19667
18021 Armilla;Total;2005;18385
18021 Armilla;Total;2004;16938
18021 Armilla;Total;2003;16524
18021 Armilla;Total;2002;15695
18021 Armilla;Total;2001;14778
18021 Armilla;Total;2000;14030
18021 Armilla;Total;1999;13706
18021 Armilla;Total;1998;13211
18022 Atarfe;Total;2019;18706
18022 Atarfe;Total;2018;18554
18022 Atarfe;Total;2017;18392
18022 Atarfe;Total;2016;18092
18022 Atarfe;Total;2015;17792
18022 Atarfe;Total;2014;17570
18022 Atarfe;Total;2013;17141
18022 Atarfe;Total;2012;16843
18022 Atarfe;Total;2011;16432
18022 Atarfe;Total;2010;15945
18022 Atarfe;Total;2009;15399
18022 Atarfe;Total;2008;14803
18022 Atarfe;Total;2007;14144
18022 Atarfe;Total;2006;13431
18022 Atarfe;Total;2005;12919
18022 Atarfe;Total;2004;12355
18022 Atarfe;Total;2003;11680
18022 Atarfe;Total;2002;11500
18022 Atarfe;Total;2001;11245
18022 Atarfe;Total;2000;10975
18022 Atarfe;Total;1999;11220
18022 Atarfe;Total;1998;10477
18023 Baza;Total;2019;20412
18023 Baza;Total;2018;20519
18023 Baza;Total;2017;20642
18023 Baza;Total;2016;20656
18023 Baza;Total;2015;20668
18023 Baza;Total;2014;20644
18023 Baza;Total;2013;21258
18023 Baza;Total;2012;21407
18023 Baza;Total;2011;22092
18023 Baza;Total;2010;21982
18023 Baza;Total;2009;23359
18023 Baza;Total;2008;23287
18023 Baza;Total;2007;22718
18023 Baza;Total;2006;22581
18023 Baza;Total;2005;22220
18023 Baza;Total;2004;21600
18023 Baza;Total;2003;21209
18023 Baza;Total;2002;20926
18023 Baza;Total;2001;20954
18023 Baza;Total;2000;20818
18023 Baza;Total;1999;21336
18023 Baza;Total;1998;20113
18024 Beas de Granada;Total;2019;977
18024 Beas de Granada;Total;2018;985
18024 Beas de Granada;Total;2017;1000
18024 Beas de Granada;Total;2016;1004
18024 Beas de Granada;Total;2015;1012
18024 Beas de Granada;Total;2014;1005
18024 Beas de Granada;Total;2013;1016
18024 Beas de Granada;Total;2012;1031
18024 Beas de Granada;Total;2011;1023
18024 Beas de Granada;Total;2010;1035
18024 Beas de Granada;Total;2009;1050
18024 Beas de Granada;Total;2008;1085
18024 Beas de Granada;Total;2007;1087
18024 Beas de Granada;Total;2006;1092
18024 Beas de Granada;Total;2005;1069
18024 Beas de Granada;Total;2004;1065
18024 Beas de Granada;Total;2003;1061
18024 Beas de Granada;Total;2002;987
18024 Beas de Granada;Total;2001;973
18024 Beas de Granada;Total;2000;968
18024 Beas de Granada;Total;1999;990
18024 Beas de Granada;Total;1998;959
18025 Beas de Guadix;Total;2019;329
18025 Beas de Guadix;Total;2018;340
18025 Beas de Guadix;Total;2017;345
18025 Beas de Guadix;Total;2016;354
18025 Beas de Guadix;Total;2015;363
18025 Beas de Guadix;Total;2014;364
18025 Beas de Guadix;Total;2013;366
18025 Beas de Guadix;Total;2012;380
18025 Beas de Guadix;Total;2011;385
18025 Beas de Guadix;Total;2010;396
18025 Beas de Guadix;Total;2009;378
18025 Beas de Guadix;Total;2008;376
18025 Beas de Guadix;Total;2007;379
18025 Beas de Guadix;Total;2006;374
18025 Beas de Guadix;Total;2005;377
18025 Beas de Guadix;Total;2004;367
18025 Beas de Guadix;Total;2003;351
18025 Beas de Guadix;Total;2002;347
18025 Beas de Guadix;Total;2001;363
18025 Beas de Guadix;Total;2000;375
18025 Beas de Guadix;Total;1999;384
18025 Beas de Guadix;Total;1998;389
18027 Benalúa;Total;2019;3318
18027 Benalúa;Total;2018;3285
18027 Benalúa;Total;2017;3286
18027 Benalúa;Total;2016;3277
18027 Benalúa;Total;2015;3298
18027 Benalúa;Total;2014;3296
18027 Benalúa;Total;2013;3301
18027 Benalúa;Total;2012;3351
18027 Benalúa;Total;2011;3370
18027 Benalúa;Total;2010;3368
18027 Benalúa;Total;2009;3326
18027 Benalúa;Total;2008;3351
18027 Benalúa;Total;2007;3300
18027 Benalúa;Total;2006;3311
18027 Benalúa;Total;2005;3288
18027 Benalúa;Total;2004;3222
18027 Benalúa;Total;2003;3239
18027 Benalúa;Total;2002;3210
18027 Benalúa;Total;2001;3164
18027 Benalúa;Total;2000;3241
18027 Benalúa;Total;1999;3327
18027 Benalúa;Total;1998;3339
18028 Benalúa de las Villas;Total;2019;1066
18028 Benalúa de las Villas;Total;2018;1065
18028 Benalúa de las Villas;Total;2017;1083
18028 Benalúa de las Villas;Total;2016;1107
18028 Benalúa de las Villas;Total;2015;1148
18028 Benalúa de las Villas;Total;2014;1163
18028 Benalúa de las Villas;Total;2013;1252
18028 Benalúa de las Villas;Total;2012;1375
18028 Benalúa de las Villas;Total;2011;1381
18028 Benalúa de las Villas;Total;2010;1414
18028 Benalúa de las Villas;Total;2009;1434
18028 Benalúa de las Villas;Total;2008;1461
18028 Benalúa de las Villas;Total;2007;1352
18028 Benalúa de las Villas;Total;2006;1352
18028 Benalúa de las Villas;Total;2005;1391
18028 Benalúa de las Villas;Total;2004;1377
18028 Benalúa de las Villas;Total;2003;1366
18028 Benalúa de las Villas;Total;2002;1399
18028 Benalúa de las Villas;Total;2001;1445
18028 Benalúa de las Villas;Total;2000;1450
18028 Benalúa de las Villas;Total;1999;1473
18028 Benalúa de las Villas;Total;1998;1379
18029 Benamaurel;Total;2019;2293
18029 Benamaurel;Total;2018;2297
18029 Benamaurel;Total;2017;2337
18029 Benamaurel;Total;2016;2359
18029 Benamaurel;Total;2015;2378
18029 Benamaurel;Total;2014;2414
18029 Benamaurel;Total;2013;2445
18029 Benamaurel;Total;2012;2447
18029 Benamaurel;Total;2011;2471
18029 Benamaurel;Total;2010;2458
18029 Benamaurel;Total;2009;2417
18029 Benamaurel;Total;2008;2397
18029 Benamaurel;Total;2007;2382
18029 Benamaurel;Total;2006;2328
18029 Benamaurel;Total;2005;2323
18029 Benamaurel;Total;2004;2319
18029 Benamaurel;Total;2003;2346
18029 Benamaurel;Total;2002;2337
18029 Benamaurel;Total;2001;2378
18029 Benamaurel;Total;2000;2410
18029 Benamaurel;Total;1999;2420
18029 Benamaurel;Total;1998;2431
18030 Bérchules;Total;2019;716
18030 Bérchules;Total;2018;719
18030 Bérchules;Total;2017;715
18030 Bérchules;Total;2016;727
18030 Bérchules;Total;2015;739
18030 Bérchules;Total;2014;762
18030 Bérchules;Total;2013;759
18030 Bérchules;Total;2012;835
18030 Bérchules;Total;2011;828
18030 Bérchules;Total;2010;822
18030 Bérchules;Total;2009;820
18030 Bérchules;Total;2008;836
18030 Bérchules;Total;2007;852
18030 Bérchules;Total;2006;811
18030 Bérchules;Total;2005;807
18030 Bérchules;Total;2004;788
18030 Bérchules;Total;2003;769
18030 Bérchules;Total;2002;785
18030 Bérchules;Total;2001;773
18030 Bérchules;Total;2000;789
18030 Bérchules;Total;1999;814
18030 Bérchules;Total;1998;808
18032 Bubión;Total;2019;296
18032 Bubión;Total;2018;302
18032 Bubión;Total;2017;301
18032 Bubión;Total;2016;294
18032 Bubión;Total;2015;309
18032 Bubión;Total;2014;315
18032 Bubión;Total;2013;337
18032 Bubión;Total;2012;335
18032 Bubión;Total;2011;343
18032 Bubión;Total;2010;350
18032 Bubión;Total;2009;358
18032 Bubión;Total;2008;361
18032 Bubión;Total;2007;373
18032 Bubión;Total;2006;366
18032 Bubión;Total;2005;355
18032 Bubión;Total;2004;347
18032 Bubión;Total;2003;357
18032 Bubión;Total;2002;364
18032 Bubión;Total;2001;367
18032 Bubión;Total;2000;378
18032 Bubión;Total;1999;372
18032 Bubión;Total;1998;376
18033 Busquístar;Total;2019;289
18033 Busquístar;Total;2018;279
18033 Busquístar;Total;2017;278
18033 Busquístar;Total;2016;276
18033 Busquístar;Total;2015;289
18033 Busquístar;Total;2014;296
18033 Busquístar;Total;2013;265
18033 Busquístar;Total;2012;292
18033 Busquístar;Total;2011;306
18033 Busquístar;Total;2010;298
18033 Busquístar;Total;2009;311
18033 Busquístar;Total;2008;317
18033 Busquístar;Total;2007;334
18033 Busquístar;Total;2006;348
18033 Busquístar;Total;2005;364
18033 Busquístar;Total;2004;352
18033 Busquístar;Total;2003;368
18033 Busquístar;Total;2002;349
18033 Busquístar;Total;2001;357
18033 Busquístar;Total;2000;363
18033 Busquístar;Total;1999;370
18033 Busquístar;Total;1998;349
18034 Cacín;Total;2019;569
18034 Cacín;Total;2018;578
18034 Cacín;Total;2017;587
18034 Cacín;Total;2016;594
18034 Cacín;Total;2015;589
18034 Cacín;Total;2014;594
18034 Cacín;Total;2013;601
18034 Cacín;Total;2012;590
18034 Cacín;Total;2011;609
18034 Cacín;Total;2010;618
18034 Cacín;Total;2009;633
18034 Cacín;Total;2008;626
18034 Cacín;Total;2007;647
18034 Cacín;Total;2006;685
18034 Cacín;Total;2005;697
18034 Cacín;Total;2004;712
18034 Cacín;Total;2003;753
18034 Cacín;Total;2002;768
18034 Cacín;Total;2001;788
18034 Cacín;Total;2000;796
18034 Cacín;Total;1999;836
18034 Cacín;Total;1998;820
18035 Cádiar;Total;2019;1453
18035 Cádiar;Total;2018;1469
18035 Cádiar;Total;2017;1486
18035 Cádiar;Total;2016;1528
18035 Cádiar;Total;2015;1554
18035 Cádiar;Total;2014;1545
18035 Cádiar;Total;2013;1515
18035 Cádiar;Total;2012;1632
18035 Cádiar;Total;2011;1652
18035 Cádiar;Total;2010;1637
18035 Cádiar;Total;2009;1634
18035 Cádiar;Total;2008;1642
18035 Cádiar;Total;2007;1671
18035 Cádiar;Total;2006;1621
18035 Cádiar;Total;2005;1601
18035 Cádiar;Total;2004;1567
18035 Cádiar;Total;2003;1636
18035 Cádiar;Total;2002;1523
18035 Cádiar;Total;2001;1567
18035 Cádiar;Total;2000;1588
18035 Cádiar;Total;1999;1650
18035 Cádiar;Total;1998;1703
18036 Cájar;Total;2019;5129
18036 Cájar;Total;2018;5070
18036 Cájar;Total;2017;5054
18036 Cájar;Total;2016;5025
18036 Cájar;Total;2015;4909
18036 Cájar;Total;2014;4929
18036 Cájar;Total;2013;4837
18036 Cájar;Total;2012;4741
18036 Cájar;Total;2011;4714
18036 Cájar;Total;2010;4690
18036 Cájar;Total;2009;4596
18036 Cájar;Total;2008;4437
18036 Cájar;Total;2007;4318
18036 Cájar;Total;2006;4139
18036 Cájar;Total;2005;4051
18036 Cájar;Total;2004;3838
18036 Cájar;Total;2003;3653
18036 Cájar;Total;2002;3336
18036 Cájar;Total;2001;3249
18036 Cájar;Total;2000;3239
18036 Cájar;Total;1999;3243
18036 Cájar;Total;1998;2828
18114 La Calahorra;Total;2019;673
18114 La Calahorra;Total;2018;661
18114 La Calahorra;Total;2017;673
18114 La Calahorra;Total;2016;700
18114 La Calahorra;Total;2015;719
18114 La Calahorra;Total;2014;748
18114 La Calahorra;Total;2013;754
18114 La Calahorra;Total;2012;765
18114 La Calahorra;Total;2011;797
18114 La Calahorra;Total;2010;806
18114 La Calahorra;Total;2009;800
18114 La Calahorra;Total;2008;760
18114 La Calahorra;Total;2007;752
18114 La Calahorra;Total;2006;766
18114 La Calahorra;Total;2005;798
18114 La Calahorra;Total;2004;813
18114 La Calahorra;Total;2003;816
18114 La Calahorra;Total;2002;793
18114 La Calahorra;Total;2001;841
18114 La Calahorra;Total;2000;888
18114 La Calahorra;Total;1999;931
18114 La Calahorra;Total;1998;927
18037 Calicasas;Total;2019;617
18037 Calicasas;Total;2018;609
18037 Calicasas;Total;2017;619
18037 Calicasas;Total;2016;619
18037 Calicasas;Total;2015;606
18037 Calicasas;Total;2014;583
18037 Calicasas;Total;2013;564
18037 Calicasas;Total;2012;571
18037 Calicasas;Total;2011;581
18037 Calicasas;Total;2010;555
18037 Calicasas;Total;2009;564
18037 Calicasas;Total;2008;589
18037 Calicasas;Total;2007;575
18037 Calicasas;Total;2006;565
18037 Calicasas;Total;2005;568
18037 Calicasas;Total;2004;558
