Municipios;Sexo;Periodo;Total
11017 Espera;Total;1999;3975
11017 Espera;Total;1998;3957
11018 El Gastor;Total;2019;1752
11018 El Gastor;Total;2018;1726
11018 El Gastor;Total;2017;1724
11018 El Gastor;Total;2016;1783
11018 El Gastor;Total;2015;1809
11018 El Gastor;Total;2014;1803
11018 El Gastor;Total;2013;1828
11018 El Gastor;Total;2012;1858
11018 El Gastor;Total;2011;1839
11018 El Gastor;Total;2010;1851
11018 El Gastor;Total;2009;1859
11018 El Gastor;Total;2008;1879
11018 El Gastor;Total;2007;1901
11018 El Gastor;Total;2006;1900
11018 El Gastor;Total;2005;1948
11018 El Gastor;Total;2004;1948
11018 El Gastor;Total;2003;1957
11018 El Gastor;Total;2002;1948
11018 El Gastor;Total;2001;1926
11018 El Gastor;Total;2000;1953
11018 El Gastor;Total;1999;1978
11018 El Gastor;Total;1998;2015
11019 Grazalema;Total;2019;2027
11019 Grazalema;Total;2018;2053
11019 Grazalema;Total;2017;2100
11019 Grazalema;Total;2016;2144
11019 Grazalema;Total;2015;2165
11019 Grazalema;Total;2014;2165
11019 Grazalema;Total;2013;2171
11019 Grazalema;Total;2012;2181
11019 Grazalema;Total;2011;2206
11019 Grazalema;Total;2010;2203
11019 Grazalema;Total;2009;2205
11019 Grazalema;Total;2008;2227
11019 Grazalema;Total;2007;2218
11019 Grazalema;Total;2006;2243
11019 Grazalema;Total;2005;2225
11019 Grazalema;Total;2004;2178
11019 Grazalema;Total;2003;2200
11019 Grazalema;Total;2002;2219
11019 Grazalema;Total;2001;2230
11019 Grazalema;Total;2000;2240
11019 Grazalema;Total;1999;2249
11019 Grazalema;Total;1998;2256
11020 Jerez de la Frontera;Total;2019;212749
11020 Jerez de la Frontera;Total;2018;212879
11020 Jerez de la Frontera;Total;2017;212915
11020 Jerez de la Frontera;Total;2016;212830
11020 Jerez de la Frontera;Total;2015;212876
11020 Jerez de la Frontera;Total;2014;212226
11020 Jerez de la Frontera;Total;2013;211670
11020 Jerez de la Frontera;Total;2012;211900
11020 Jerez de la Frontera;Total;2011;210861
11020 Jerez de la Frontera;Total;2010;208896
11020 Jerez de la Frontera;Total;2009;207532
11020 Jerez de la Frontera;Total;2008;205364
11020 Jerez de la Frontera;Total;2007;202687
11020 Jerez de la Frontera;Total;2006;199544
11020 Jerez de la Frontera;Total;2005;196275
11020 Jerez de la Frontera;Total;2004;192648
11020 Jerez de la Frontera;Total;2003;191002
11020 Jerez de la Frontera;Total;2002;187087
11020 Jerez de la Frontera;Total;2001;185091
11020 Jerez de la Frontera;Total;2000;183677
11020 Jerez de la Frontera;Total;1999;182660
11020 Jerez de la Frontera;Total;1998;181602
11021 Jimena de la Frontera;Total;2019;6951
11021 Jimena de la Frontera;Total;2018;9773
11021 Jimena de la Frontera;Total;2017;9685
11021 Jimena de la Frontera;Total;2016;9756
11021 Jimena de la Frontera;Total;2015;9772
11021 Jimena de la Frontera;Total;2014;9710
11021 Jimena de la Frontera;Total;2013;10412
11021 Jimena de la Frontera;Total;2012;10480
11021 Jimena de la Frontera;Total;2011;10447
11021 Jimena de la Frontera;Total;2010;10440
11021 Jimena de la Frontera;Total;2009;10431
11021 Jimena de la Frontera;Total;2008;10330
11021 Jimena de la Frontera;Total;2007;10025
11021 Jimena de la Frontera;Total;2006;9893
11021 Jimena de la Frontera;Total;2005;9754
11021 Jimena de la Frontera;Total;2004;9355
11021 Jimena de la Frontera;Total;2003;9343
11021 Jimena de la Frontera;Total;2002;9200
11021 Jimena de la Frontera;Total;2001;9182
11021 Jimena de la Frontera;Total;2000;9109
11021 Jimena de la Frontera;Total;1999;9127
11021 Jimena de la Frontera;Total;1998;8948
11022 La Línea de la Concepción;Total;2019;63147
11022 La Línea de la Concepción;Total;2018;62940
11022 La Línea de la Concepción;Total;2017;63146
