Municipios;Sexo;Periodo;Total
41019 Burguillos;Total;2019;6716
41019 Burguillos;Total;2018;6618
41019 Burguillos;Total;2017;6523
41019 Burguillos;Total;2016;6449
41019 Burguillos;Total;2015;6420
41019 Burguillos;Total;2014;6475
41019 Burguillos;Total;2013;6556
41019 Burguillos;Total;2012;6459
41019 Burguillos;Total;2011;6286
41019 Burguillos;Total;2010;6120
41019 Burguillos;Total;2009;5781
41019 Burguillos;Total;2008;5335
41019 Burguillos;Total;2007;4876
41019 Burguillos;Total;2006;4510
41019 Burguillos;Total;2005;4142
41019 Burguillos;Total;2004;3945
41019 Burguillos;Total;2003;3737
41019 Burguillos;Total;2002;3680
41019 Burguillos;Total;2001;3603
41019 Burguillos;Total;2000;3514
41019 Burguillos;Total;1999;3498
41019 Burguillos;Total;1998;3485
41020 Las Cabezas de San Juan;Total;2019;16417
41020 Las Cabezas de San Juan;Total;2018;16379
41020 Las Cabezas de San Juan;Total;2017;16418
41020 Las Cabezas de San Juan;Total;2016;16516
41020 Las Cabezas de San Juan;Total;2015;16514
41020 Las Cabezas de San Juan;Total;2014;16546
41020 Las Cabezas de San Juan;Total;2013;16589
41020 Las Cabezas de San Juan;Total;2012;16562
41020 Las Cabezas de San Juan;Total;2011;16580
41020 Las Cabezas de San Juan;Total;2010;16571
41020 Las Cabezas de San Juan;Total;2009;16464
41020 Las Cabezas de San Juan;Total;2008;16292
41020 Las Cabezas de San Juan;Total;2007;16239
41020 Las Cabezas de San Juan;Total;2006;16139
41020 Las Cabezas de San Juan;Total;2005;16055
41020 Las Cabezas de San Juan;Total;2004;15937
41020 Las Cabezas de San Juan;Total;2003;15867
41020 Las Cabezas de San Juan;Total;2002;15783
41020 Las Cabezas de San Juan;Total;2001;15655
41020 Las Cabezas de San Juan;Total;2000;15676
41020 Las Cabezas de San Juan;Total;1999;15660
41020 Las Cabezas de San Juan;Total;1998;15632
41021 Camas;Total;2019;27509
41021 Camas;Total;2018;27463
41021 Camas;Total;2017;27293
41021 Camas;Total;2016;27258
41021 Camas;Total;2015;26861
41021 Camas;Total;2014;26665
41021 Camas;Total;2013;26535
41021 Camas;Total;2012;26485
41021 Camas;Total;2011;26292
41021 Camas;Total;2010;26086
41021 Camas;Total;2009;26015
41021 Camas;Total;2008;25780
41021 Camas;Total;2007;25694
41021 Camas;Total;2006;25706
41021 Camas;Total;2005;25768
41021 Camas;Total;2004;25393
41021 Camas;Total;2003;25502
41021 Camas;Total;2002;25109
41021 Camas;Total;2001;25302
41021 Camas;Total;2000;25333
41021 Camas;Total;1999;25499
41021 Camas;Total;1998;25499
41022 La Campana;Total;2019;5276
41022 La Campana;Total;2018;5281
41022 La Campana;Total;2017;5349
41022 La Campana;Total;2016;5399
41022 La Campana;Total;2015;5410
41022 La Campana;Total;2014;5451
41022 La Campana;Total;2013;5497
41022 La Campana;Total;2012;5514
41022 La Campana;Total;2011;5511
41022 La Campana;Total;2010;5507
41022 La Campana;Total;2009;5469
41022 La Campana;Total;2008;5467
41022 La Campana;Total;2007;5310
41022 La Campana;Total;2006;5260
41022 La Campana;Total;2005;5236
41022 La Campana;Total;2004;5166
41022 La Campana;Total;2003;5138
41022 La Campana;Total;2002;5148
41022 La Campana;Total;2001;5180
41022 La Campana;Total;2000;5169
41022 La Campana;Total;1999;5212
41022 La Campana;Total;1998;5212
41023 Cantillana;Total;2019;10684
41023 Cantillana;Total;2018;10661
41023 Cantillana;Total;2017;10612
41023 Cantillana;Total;2016;10645
41023 Cantillana;Total;2015;10717
41023 Cantillana;Total;2014;10842
41023 Cantillana;Total;2013;10842
41023 Cantillana;Total;2012;10921
41023 Cantillana;Total;2011;10700
41023 Cantillana;Total;2010;10643
41023 Cantillana;Total;2009;10627
41023 Cantillana;Total;2008;10442
41023 Cantillana;Total;2007;9927
41023 Cantillana;Total;2006;9744
41023 Cantillana;Total;2005;9411
41023 Cantillana;Total;2004;9289
41023 Cantillana;Total;2003;9138
41023 Cantillana;Total;2002;8999
41023 Cantillana;Total;2001;8989
41023 Cantillana;Total;2000;8947
41023 Cantillana;Total;1999;8959
41023 Cantillana;Total;1998;8929
41901 Cañada Rosal;Total;2019;3320
41901 Cañada Rosal;Total;2018;3307
41901 Cañada Rosal;Total;2017;3307
41901 Cañada Rosal;Total;2016;3302
41901 Cañada Rosal;Total;2015;3305
41901 Cañada Rosal;Total;2014;3288
41901 Cañada Rosal;Total;2013;3277
41901 Cañada Rosal;Total;2012;3272
41901 Cañada Rosal;Total;2011;3262
41901 Cañada Rosal;Total;2010;3242
41901 Cañada Rosal;Total;2009;3198
41901 Cañada Rosal;Total;2008;3175
41901 Cañada Rosal;Total;2007;3122
41901 Cañada Rosal;Total;2006;3103
41901 Cañada Rosal;Total;2005;3085
41901 Cañada Rosal;Total;2004;3059
41901 Cañada Rosal;Total;2003;3044
41901 Cañada Rosal;Total;2002;3024
41901 Cañada Rosal;Total;2001;3018
41901 Cañada Rosal;Total;2000;2988
41901 Cañada Rosal;Total;1999;3036
41901 Cañada Rosal;Total;1998;2948
41024 Carmona;Total;2019;28531
41024 Carmona;Total;2018;28620
41024 Carmona;Total;2017;28540
41024 Carmona;Total;2016;28595
41024 Carmona;Total;2015;28656
41024 Carmona;Total;2014;28717
41024 Carmona;Total;2013;28793
41024 Carmona;Total;2012;28814
41024 Carmona;Total;2011;28679
41024 Carmona;Total;2010;28576
41024 Carmona;Total;2009;28344
41024 Carmona;Total;2008;27950
41024 Carmona;Total;2007;27578
41024 Carmona;Total;2006;27221
41024 Carmona;Total;2005;26926
41024 Carmona;Total;2004;26558
41024 Carmona;Total;2003;26297
41024 Carmona;Total;2002;25932
41024 Carmona;Total;2001;25793
41024 Carmona;Total;2000;25723
41024 Carmona;Total;1999;25403
41024 Carmona;Total;1998;25326
41025 Carrión de los Céspedes;Total;2019;2544
41025 Carrión de los Céspedes;Total;2018;2500
41025 Carrión de los Céspedes;Total;2017;2524
41025 Carrión de los Céspedes;Total;2016;2548
41025 Carrión de los Céspedes;Total;2015;2563
41025 Carrión de los Céspedes;Total;2014;2551
41025 Carrión de los Céspedes;Total;2013;2524
41025 Carrión de los Céspedes;Total;2012;2559
41025 Carrión de los Céspedes;Total;2011;2521
41025 Carrión de los Céspedes;Total;2010;2511
41025 Carrión de los Céspedes;Total;2009;2487
41025 Carrión de los Céspedes;Total;2008;2412
41025 Carrión de los Céspedes;Total;2007;2261
41025 Carrión de los Céspedes;Total;2006;2267
41025 Carrión de los Céspedes;Total;2005;2274
41025 Carrión de los Céspedes;Total;2004;2292
41025 Carrión de los Céspedes;Total;2003;2296
41025 Carrión de los Céspedes;Total;2002;2323
41025 Carrión de los Céspedes;Total;2001;2315
41025 Carrión de los Céspedes;Total;2000;2331
41025 Carrión de los Céspedes;Total;1999;2306
41025 Carrión de los Céspedes;Total;1998;2271
41026 Casariche;Total;2019;5456
41026 Casariche;Total;2018;5530
41026 Casariche;Total;2017;5566
41026 Casariche;Total;2016;5593
41026 Casariche;Total;2015;5594
41026 Casariche;Total;2014;5596
41026 Casariche;Total;2013;5619
41026 Casariche;Total;2012;5652
41026 Casariche;Total;2011;5611
41026 Casariche;Total;2010;5579
41026 Casariche;Total;2009;5605
41026 Casariche;Total;2008;5552
41026 Casariche;Total;2007;5453
41026 Casariche;Total;2006;5414
41026 Casariche;Total;2005;5395
41026 Casariche;Total;2004;5344
41026 Casariche;Total;2003;5289
41026 Casariche;Total;2002;5275
41026 Casariche;Total;2001;5247
41026 Casariche;Total;2000;5200
41026 Casariche;Total;1999;5145
41026 Casariche;Total;1998;5118
41027 Castilblanco de los Arroyos;Total;2019;4864
41027 Castilblanco de los Arroyos;Total;2018;4810
41027 Castilblanco de los Arroyos;Total;2017;4831
41027 Castilblanco de los Arroyos;Total;2016;4868
41027 Castilblanco de los Arroyos;Total;2015;4946
41027 Castilblanco de los Arroyos;Total;2014;5033
41027 Castilblanco de los Arroyos;Total;2013;5075
41027 Castilblanco de los Arroyos;Total;2012;5084
41027 Castilblanco de los Arroyos;Total;2011;5183
41027 Castilblanco de los Arroyos;Total;2010;5156
41027 Castilblanco de los Arroyos;Total;2009;5150
41027 Castilblanco de los Arroyos;Total;2008;5028
41027 Castilblanco de los Arroyos;Total;2007;4986
41027 Castilblanco de los Arroyos;Total;2006;4870
41027 Castilblanco de los Arroyos;Total;2005;4773
41027 Castilblanco de los Arroyos;Total;2004;4682
41027 Castilblanco de los Arroyos;Total;2003;4660
41027 Castilblanco de los Arroyos;Total;2002;4575
41027 Castilblanco de los Arroyos;Total;2001;4501
41027 Castilblanco de los Arroyos;Total;2000;4458
41027 Castilblanco de los Arroyos;Total;1999;4403
41027 Castilblanco de los Arroyos;Total;1998;4394
41028 Castilleja de Guzmán;Total;2019;2821
41028 Castilleja de Guzmán;Total;2018;2826
41028 Castilleja de Guzmán;Total;2017;2835
41028 Castilleja de Guzmán;Total;2016;2857
41028 Castilleja de Guzmán;Total;2015;2855
41028 Castilleja de Guzmán;Total;2014;2871
41028 Castilleja de Guzmán;Total;2013;2858
41028 Castilleja de Guzmán;Total;2012;2829
41028 Castilleja de Guzmán;Total;2011;2880
41028 Castilleja de Guzmán;Total;2010;2846
41028 Castilleja de Guzmán;Total;2009;2744
41028 Castilleja de Guzmán;Total;2008;2687
41028 Castilleja de Guzmán;Total;2007;2627
41028 Castilleja de Guzmán;Total;2006;2512
41028 Castilleja de Guzmán;Total;2005;2409
41028 Castilleja de Guzmán;Total;2004;2272
41028 Castilleja de Guzmán;Total;2003;2145
41028 Castilleja de Guzmán;Total;2002;1865
41028 Castilleja de Guzmán;Total;2001;1694
41028 Castilleja de Guzmán;Total;2000;1447
41028 Castilleja de Guzmán;Total;1999;1195
41028 Castilleja de Guzmán;Total;1998;829
41029 Castilleja de la Cuesta;Total;2019;17418
41029 Castilleja de la Cuesta;Total;2018;17350
41029 Castilleja de la Cuesta;Total;2017;17429
41029 Castilleja de la Cuesta;Total;2016;17532
41029 Castilleja de la Cuesta;Total;2015;17459
41029 Castilleja de la Cuesta;Total;2014;17536
41029 Castilleja de la Cuesta;Total;2013;17474
41029 Castilleja de la Cuesta;Total;2012;17505
41029 Castilleja de la Cuesta;Total;2011;17442
41029 Castilleja de la Cuesta;Total;2010;17282
41029 Castilleja de la Cuesta;Total;2009;17150
41029 Castilleja de la Cuesta;Total;2008;17075
41029 Castilleja de la Cuesta;Total;2007;17034
41029 Castilleja de la Cuesta;Total;2006;16878
41029 Castilleja de la Cuesta;Total;2005;16819
41029 Castilleja de la Cuesta;Total;2004;16791
41029 Castilleja de la Cuesta;Total;2003;16735
41029 Castilleja de la Cuesta;Total;2002;16316
41029 Castilleja de la Cuesta;Total;2001;16211
41029 Castilleja de la Cuesta;Total;2000;16059
41029 Castilleja de la Cuesta;Total;1999;15981
41029 Castilleja de la Cuesta;Total;1998;15862
41030 Castilleja del Campo;Total;2019;629
41030 Castilleja del Campo;Total;2018;625
41030 Castilleja del Campo;Total;2017;628
41030 Castilleja del Campo;Total;2016;635
41030 Castilleja del Campo;Total;2015;622
41030 Castilleja del Campo;Total;2014;643
41030 Castilleja del Campo;Total;2013;650
41030 Castilleja del Campo;Total;2012;642
41030 Castilleja del Campo;Total;2011;648
41030 Castilleja del Campo;Total;2010;653
41030 Castilleja del Campo;Total;2009;636
41030 Castilleja del Campo;Total;2008;633
41030 Castilleja del Campo;Total;2007;631
41030 Castilleja del Campo;Total;2006;651
41030 Castilleja del Campo;Total;2005;638
41030 Castilleja del Campo;Total;2004;629
41030 Castilleja del Campo;Total;2003;616
41030 Castilleja del Campo;Total;2002;614
41030 Castilleja del Campo;Total;2001;618
41030 Castilleja del Campo;Total;2000;617
41030 Castilleja del Campo;Total;1999;622
41030 Castilleja del Campo;Total;1998;625
41031 El Castillo de las Guardas;Total;2019;1443
41031 El Castillo de las Guardas;Total;2018;1439
41031 El Castillo de las Guardas;Total;2017;1464
41031 El Castillo de las Guardas;Total;2016;1480
41031 El Castillo de las Guardas;Total;2015;1511
41031 El Castillo de las Guardas;Total;2014;1539
