Lugar de condena;Nacionalidad;Periodo;Total
05 Ávila;De Africa;2014;38
05 Ávila;De Africa;2013;37
05 Ávila;De América;2019;49
05 Ávila;De América;2018;63
05 Ávila;De América;2017;52
05 Ávila;De América;2016;40
05 Ávila;De América;2015;53
05 Ávila;De América;2014;36
05 Ávila;De América;2013;56
05 Ávila;De Asia;2019;6
05 Ávila;De Asia;2018;2
05 Ávila;De Asia;2017;4
05 Ávila;De Asia;2016;1
05 Ávila;De Asia;2015;0
05 Ávila;De Asia;2014;0
05 Ávila;De Asia;2013;0
05 Ávila;De Oceanía;2019;0
05 Ávila;De Oceanía;2018;0
05 Ávila;De Oceanía;2017;0
05 Ávila;De Oceanía;2016;0
05 Ávila;De Oceanía;2015;0
05 Ávila;De Oceanía;2014;0
05 Ávila;De Oceanía;2013;0
06 Badajoz;Total;2019;4.262
06 Badajoz;Total;2018;4.554
06 Badajoz;Total;2017;4.848
06 Badajoz;Total;2016;4.726
06 Badajoz;Total;2015;3.803
06 Badajoz;Total;2014;4.018
06 Badajoz;Total;2013;3.843
06 Badajoz;Española;2019;3.824
06 Badajoz;Española;2018;4.111
06 Badajoz;Española;2017;4.407
06 Badajoz;Española;2016;4.248
06 Badajoz;Española;2015;3.438
06 Badajoz;Española;2014;3.647
06 Badajoz;Española;2013;3.452
06 Badajoz;País de la UE28 sin España;2019;293
06 Badajoz;País de la UE28 sin España;2018;324
06 Badajoz;País de la UE28 sin España;2017;313
06 Badajoz;País de la UE28 sin España;2016;334
06 Badajoz;País de la UE28 sin España;2015;253
06 Badajoz;País de la UE28 sin España;2014;242
06 Badajoz;País de la UE28 sin España;2013;251
06 Badajoz;País de Europa menos UE;2019;4
06 Badajoz;País de Europa menos UE;2018;2
06 Badajoz;País de Europa menos UE;2017;4
06 Badajoz;País de Europa menos UE;2016;14
06 Badajoz;País de Europa menos UE;2015;1
06 Badajoz;País de Europa menos UE;2014;4
06 Badajoz;País de Europa menos UE;2013;4
06 Badajoz;De Africa;2019;50
06 Badajoz;De Africa;2018;50
06 Badajoz;De Africa;2017;51
06 Badajoz;De Africa;2016;45
06 Badajoz;De Africa;2015;58
06 Badajoz;De Africa;2014;59
06 Badajoz;De Africa;2013;71
06 Badajoz;De América;2019;83
06 Badajoz;De América;2018;57
06 Badajoz;De América;2017;66
06 Badajoz;De América;2016;78
06 Badajoz;De América;2015;48
06 Badajoz;De América;2014;64
06 Badajoz;De América;2013;55
06 Badajoz;De Asia;2019;8
06 Badajoz;De Asia;2018;10
06 Badajoz;De Asia;2017;7
06 Badajoz;De Asia;2016;7
06 Badajoz;De Asia;2015;5
06 Badajoz;De Asia;2014;2
06 Badajoz;De Asia;2013;10
06 Badajoz;De Oceanía;2019;0
06 Badajoz;De Oceanía;2018;0
06 Badajoz;De Oceanía;2017;0
06 Badajoz;De Oceanía;2016;0
06 Badajoz;De Oceanía;2015;0
06 Badajoz;De Oceanía;2014;0
06 Badajoz;De Oceanía;2013;0
07 Balears, Illes;Total;2019;11.735
07 Balears, Illes;Total;2018;11.285
07 Balears, Illes;Total;2017;11.216
07 Balears, Illes;Total;2016;10.237
07 Balears, Illes;Total;2015;8.887
07 Balears, Illes;Total;2014;9.176
07 Balears, Illes;Total;2013;8.918
07 Balears, Illes;Española;2019;7.802
07 Balears, Illes;Española;2018;7.575
07 Balears, Illes;Española;2017;7.831
07 Balears, Illes;Española;2016;7.110
07 Balears, Illes;Española;2015;6.190
07 Balears, Illes;Española;2014;6.292
07 Balears, Illes;Española;2013;6.046
07 Balears, Illes;País de la UE28 sin España;2019;1.498
07 Balears, Illes;País de la UE28 sin España;2018;1.509
07 Balears, Illes;País de la UE28 sin España;2017;1.376
07 Balears, Illes;País de la UE28 sin España;2016;1.287
07 Balears, Illes;País de la UE28 sin España;2015;1.141
07 Balears, Illes;País de la UE28 sin España;2014;1.140
07 Balears, Illes;País de la UE28 sin España;2013;1.041
07 Balears, Illes;País de Europa menos UE;2019;138
07 Balears, Illes;País de Europa menos UE;2018;133
07 Balears, Illes;País de Europa menos UE;2017;122
07 Balears, Illes;País de Europa menos UE;2016;91
07 Balears, Illes;País de Europa menos UE;2015;55
07 Balears, Illes;País de Europa menos UE;2014;78
07 Balears, Illes;País de Europa menos UE;2013;72
07 Balears, Illes;De Africa;2019;833
07 Balears, Illes;De Africa;2018;766
07 Balears, Illes;De Africa;2017;766
07 Balears, Illes;De Africa;2016;666
07 Balears, Illes;De Africa;2015;601
07 Balears, Illes;De Africa;2014;632
07 Balears, Illes;De Africa;2013;558
07 Balears, Illes;De América;2019;1.303
07 Balears, Illes;De América;2018;1.167
07 Balears, Illes;De América;2017;1.025
07 Balears, Illes;De América;2016;993
07 Balears, Illes;De América;2015;845
07 Balears, Illes;De América;2014;970
07 Balears, Illes;De América;2013;1.140
07 Balears, Illes;De Asia;2019;157
07 Balears, Illes;De Asia;2018;131
07 Balears, Illes;De Asia;2017;92
07 Balears, Illes;De Asia;2016;86
07 Balears, Illes;De Asia;2015;49
07 Balears, Illes;De Asia;2014;61
07 Balears, Illes;De Asia;2013;57
07 Balears, Illes;De Oceanía;2019;4
07 Balears, Illes;De Oceanía;2018;4
07 Balears, Illes;De Oceanía;2017;4
07 Balears, Illes;De Oceanía;2016;4
07 Balears, Illes;De Oceanía;2015;6
07 Balears, Illes;De Oceanía;2014;3
07 Balears, Illes;De Oceanía;2013;4
08 Barcelona;Total;2019;53.536
08 Barcelona;Total;2018;49.976
08 Barcelona;Total;2017;48.501
08 Barcelona;Total;2016;44.226
08 Barcelona;Total;2015;32.103
08 Barcelona;Total;2014;28.767
08 Barcelona;Total;2013;28.012
08 Barcelona;Española;2019;28.102
08 Barcelona;Española;2018;28.536
08 Barcelona;Española;2017;29.501
08 Barcelona;Española;2016;26.831
08 Barcelona;Española;2015;20.785
08 Barcelona;Española;2014;19.357
08 Barcelona;Española;2013;18.487
08 Barcelona;País de la UE28 sin España;2019;6.849
08 Barcelona;País de la UE28 sin España;2018;6.603
08 Barcelona;País de la UE28 sin España;2017;5.248
08 Barcelona;País de la UE28 sin España;2016;4.543
08 Barcelona;País de la UE28 sin España;2015;2.655
08 Barcelona;País de la UE28 sin España;2014;1.698
08 Barcelona;País de la UE28 sin España;2013;1.535
08 Barcelona;País de Europa menos UE;2019;3.444
08 Barcelona;País de Europa menos UE;2018;2.108
08 Barcelona;País de Europa menos UE;2017;1.679
08 Barcelona;País de Europa menos UE;2016;1.532
08 Barcelona;País de Europa menos UE;2015;800
08 Barcelona;País de Europa menos UE;2014;497
08 Barcelona;País de Europa menos UE;2013;377
08 Barcelona;De Africa;2019;6.981
08 Barcelona;De Africa;2018;5.716
08 Barcelona;De Africa;2017;5.505
08 Barcelona;De Africa;2016;5.165
08 Barcelona;De Africa;2015;3.272
08 Barcelona;De Africa;2014;2.839
08 Barcelona;De Africa;2013;2.953
08 Barcelona;De América;2019;7.029
08 Barcelona;De América;2018;5.841
08 Barcelona;De América;2017;5.391
08 Barcelona;De América;2016;5.014
08 Barcelona;De América;2015;3.817
08 Barcelona;De América;2014;3.561
08 Barcelona;De América;2013;3.711
08 Barcelona;De Asia;2019;1.122
08 Barcelona;De Asia;2018;1.169
08 Barcelona;De Asia;2017;1.168
08 Barcelona;De Asia;2016;1.135
08 Barcelona;De Asia;2015;772
08 Barcelona;De Asia;2014;808
08 Barcelona;De Asia;2013;820
08 Barcelona;De Oceanía;2019;9
08 Barcelona;De Oceanía;2018;3
08 Barcelona;De Oceanía;2017;9
08 Barcelona;De Oceanía;2016;6
08 Barcelona;De Oceanía;2015;2
08 Barcelona;De Oceanía;2014;7
08 Barcelona;De Oceanía;2013;129
48 Bizkaia;Total;2019;9.857
48 Bizkaia;Total;2018;9.279
48 Bizkaia;Total;2017;8.913
48 Bizkaia;Total;2016;8.363
48 Bizkaia;Total;2015;5.481
48 Bizkaia;Total;2014;5.161
48 Bizkaia;Total;2013;5.362
48 Bizkaia;Española;2019;7.302
48 Bizkaia;Española;2018;6.964
48 Bizkaia;Española;2017;6.712
48 Bizkaia;Española;2016;6.420
48 Bizkaia;Española;2015;4.111
48 Bizkaia;Española;2014;3.860
48 Bizkaia;Española;2013;3.908
48 Bizkaia;País de la UE28 sin España;2019;401
48 Bizkaia;País de la UE28 sin España;2018;470
48 Bizkaia;País de la UE28 sin España;2017;462
48 Bizkaia;País de la UE28 sin España;2016;499
48 Bizkaia;País de la UE28 sin España;2015;340
48 Bizkaia;País de la UE28 sin España;2014;277
48 Bizkaia;País de la UE28 sin España;2013;299
48 Bizkaia;País de Europa menos UE;2019;114
48 Bizkaia;País de Europa menos UE;2018;101
48 Bizkaia;País de Europa menos UE;2017;65
48 Bizkaia;País de Europa menos UE;2016;34
48 Bizkaia;País de Europa menos UE;2015;35
48 Bizkaia;País de Europa menos UE;2014;16
48 Bizkaia;País de Europa menos UE;2013;8
48 Bizkaia;De Africa;2019;1.184
48 Bizkaia;De Africa;2018;996
48 Bizkaia;De Africa;2017;943
48 Bizkaia;De Africa;2016;747
48 Bizkaia;De Africa;2015;424
48 Bizkaia;De Africa;2014;423
48 Bizkaia;De Africa;2013;527
48 Bizkaia;De América;2019;795
48 Bizkaia;De América;2018;682
48 Bizkaia;De América;2017;679
48 Bizkaia;De América;2016;628
48 Bizkaia;De América;2015;539
48 Bizkaia;De América;2014;564
48 Bizkaia;De América;2013;585
48 Bizkaia;De Asia;2019;61
48 Bizkaia;De Asia;2018;66
48 Bizkaia;De Asia;2017;49
48 Bizkaia;De Asia;2016;34
48 Bizkaia;De Asia;2015;32
48 Bizkaia;De Asia;2014;21
48 Bizkaia;De Asia;2013;27
48 Bizkaia;De Oceanía;2019;0
48 Bizkaia;De Oceanía;2018;0
48 Bizkaia;De Oceanía;2017;3
48 Bizkaia;De Oceanía;2016;1
48 Bizkaia;De Oceanía;2015;0
48 Bizkaia;De Oceanía;2014;0
48 Bizkaia;De Oceanía;2013;8
09 Burgos;Total;2019;2.609
09 Burgos;Total;2018;2.543
09 Burgos;Total;2017;2.539
09 Burgos;Total;2016;2.582
09 Burgos;Total;2015;1.913
09 Burgos;Total;2014;1.900
09 Burgos;Total;2013;2.086
09 Burgos;Española;2019;2.153
09 Burgos;Española;2018;2.076
09 Burgos;Española;2017;2.042
09 Burgos;Española;2016;2.044
09 Burgos;Española;2015;1.493
09 Burgos;Española;2014;1.501
09 Burgos;Española;2013;1.620
09 Burgos;País de la UE28 sin España;2019;240
09 Burgos;País de la UE28 sin España;2018;247
09 Burgos;País de la UE28 sin España;2017;271
09 Burgos;País de la UE28 sin España;2016;281
09 Burgos;País de la UE28 sin España;2015;203
09 Burgos;País de la UE28 sin España;2014;201
09 Burgos;País de la UE28 sin España;2013;240
09 Burgos;País de Europa menos UE;2019;7
09 Burgos;País de Europa menos UE;2018;25
09 Burgos;País de Europa menos UE;2017;10
09 Burgos;País de Europa menos UE;2016;19
09 Burgos;País de Europa menos UE;2015;20
09 Burgos;País de Europa menos UE;2014;2
09 Burgos;País de Europa menos UE;2013;8
09 Burgos;De Africa;2019;47
09 Burgos;De Africa;2018;56
09 Burgos;De Africa;2017;93
09 Burgos;De Africa;2016;90
09 Burgos;De Africa;2015;53
09 Burgos;De Africa;2014;57
09 Burgos;De Africa;2013;70
09 Burgos;De América;2019;153
09 Burgos;De América;2018;125
09 Burgos;De América;2017;114
09 Burgos;De América;2016;141
09 Burgos;De América;2015;135
09 Burgos;De América;2014;134
09 Burgos;De América;2013;136
09 Burgos;De Asia;2019;9
09 Burgos;De Asia;2018;14
09 Burgos;De Asia;2017;9
09 Burgos;De Asia;2016;7
09 Burgos;De Asia;2015;9
09 Burgos;De Asia;2014;5
09 Burgos;De Asia;2013;8
09 Burgos;De Oceanía;2019;0
09 Burgos;De Oceanía;2018;0
09 Burgos;De Oceanía;2017;0
09 Burgos;De Oceanía;2016;0
09 Burgos;De Oceanía;2015;0
09 Burgos;De Oceanía;2014;0
09 Burgos;De Oceanía;2013;4
10 Cáceres;Total;2019;2.752
10 Cáceres;Total;2018;2.707
10 Cáceres;Total;2017;2.742
10 Cáceres;Total;2016;2.933
10 Cáceres;Total;2015;3.197
10 Cáceres;Total;2014;2.374
10 Cáceres;Total;2013;2.370
10 Cáceres;Española;2019;2.559
10 Cáceres;Española;2018;2.508
10 Cáceres;Española;2017;2.512
10 Cáceres;Española;2016;2.676
10 Cáceres;Española;2015;2.960
10 Cáceres;Española;2014;2.163
10 Cáceres;Española;2013;2.145
10 Cáceres;País de la UE28 sin España;2019;84
10 Cáceres;País de la UE28 sin España;2018;110
10 Cáceres;País de la UE28 sin España;2017;97
10 Cáceres;País de la UE28 sin España;2016;97
10 Cáceres;País de la UE28 sin España;2015;110
10 Cáceres;País de la UE28 sin España;2014;112
10 Cáceres;País de la UE28 sin España;2013;104
